LAT	LONG
-1.6109	36.992
-1.67095	37.04062
-1.269139	36.822009
-1.481557	36.659725
-1.672088	36.98719
-1.675863	37.060318
-2.285499	37.486543
-1.73555	37.03487
-1.717	37.06178
-1.7443	37.07371
-1.94882	36.7299
-1.7706	36.86644
-1.70334	36.65443
3.337268	37.742844
-1.669787	36.973519
-3.06094	40.17018
-1.79037	36.05796
-1.80119	36.9906
-1.28697	35.61532
-1.619173	36.905093
-1.63068	36.94263
-1.59002	35.42733
-1.376373	36.92441
-1.306305	36.8654
-1.358401	36.777366
-3.215931	40.11235
-1.555619	36.669647
0.05867	36.76548
-1.327124	35.173924
-2.099935	36.808273
-1.100217	35.834568
-1.461431	37.01148
-0.561495	33.926441
-3.216038	40.112801
-1.511389	35.340736
0.013046	37.075226
-1.441782	35.21474
-1.463608	36.644333
-0.475604	34.087955
-0.133467	34.011513
-0.267791	34.976295
-1.441117	35.216221
-1.223509	35.480347
-0.629341	34.995747
-1.328889	36.71728
0.000986	40.382948
-1.352566	35.327911
-1.617841	35.391225
-1.595558	36.691246
-1.460895	35.386684
-1.443305	35.21543
0.888484	36.811752
-1.614884	35.390267
-0.024805	34.747524
1.0156135	35.2709091
1.0156135	35.2709091
1.4	34.45
0.202957	35.0978385
0.202957	35.0978385
0.202957	35.0978385
1.0948111	35.1552844
0.852222	34.701944
-0.6793505	35.1401137
0.787392	35.2415422
0.075974	35.0592309
-0.366667	35.3
-0.366667	35.3
-0.366667	35.3
-0.366667	35.3
-0.366667	35.3
-0.366667	35.3
0.277955	35.3342801
0.5	35.866667
-1.006268	34.8789697
0.783333	34.716667
0.783333	34.716667
0.783333	34.716667
0.783333	34.716667
0.8935153	34.9258526
0.8935153	34.9258526
0.2065413	35.8961381
0.4771845	35.1046994
0.6288259	35.7944655
1.1272275	35.1029277
0.1298724	35.1531708
0.520515	35.2681499
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
1.019089	35.0023048
-1.316667	36.783333
0.4548764	35.8659285
1.0443348	34.9892412
-0.582624	35.1901151
0.6599378	34.7547433
0.6365917	35.0122243
3.116667	35.6
3.116667	35.6
3.116667	35.6
3.116667	35.6
3.116667	35.6
3.116667	35.6
3.116667	35.6
3.116667	35.6
-1.230912	34.8099773
2.38	35.65
1.9521315	36.0322459
-0.8666667	35.3833333
0.0240007	34.5874448
0.1749679	36.344028
0.1749679	36.344028
1.2544328	35.0911142
1.2544328	35.0911142
0.3027658	34.6232476
1.2194333	34.8257375
0.47	35.98
0.47	35.98
0.8272566	35.1206893
-0.6	36
-0.6	36
0.7180138	35.3078136
0.718889	34.755
-0.0207658	35.9560546
-0.2488358	35.7323709
-0.2488358	35.7323709
-1.7473102	37.4621372
-1.4122412	38.0155733
-0.9255793	35.4176366
-0.9255793	35.4176366
0.7576376	34.8884797
-0.720236	36.428531
-0.720236	36.428531
-0.720236	36.428531
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.3030988	36.080026
-0.166667	35.6
0.1030731	35.176372
0.1030731	35.176372
0.1030731	35.176372
0.7469275	35.1440668
0.016667	37.066667
0.016667	37.066667
-1.083333	35.866667
-1.083333	35.866667
-1.083333	35.866667
-1.083333	35.866667
-1.083333	35.866667
-1.083333	35.866667
-1.083333	35.866667
-0.166667	37.016667
0.8473192	34.9951753
0.8473192	34.9951753
0.0351644	36.3642919
0.3225928	35.5746771
-0.5968149	35.6314191
-0.5968149	35.6314191
0.0777395	35.07233
1.4959744	35.4727149
0.8343561	34.8638624
0.9667832	35.15095
0.3239892	35.1051773
-0.3627385	35.1715614
-0.0018807	36.2278245
-0.0018807	36.2278245
-0.6906735	35.1110613
-0.6906735	35.1110613
0.6800554	35.3880277
0.6342241	35.0470761
0.6342241	35.0470761
0.616667	34.766667
1.5924438	35.2853616
0.8342805	35.246438
0.5695252	34.5583766
0.2827307	34.7518631
0.2827307	34.7518631
0.216667	34.5
0.7358836	34.5777565
0.616667	34.766667
0.2827307	34.7518631
0.4607691	34.1114621
0.5695252	34.5583766
0.3	34.2
0.333333	34.483333
0.5695252	34.5583766
0.5695252	34.5583766
0.5695252	34.5583766
0.5695252	34.5583766
0.5695252	34.5583766
0.3416124	34.3352003
