TOWN,LAT,LNG
14th Falls Estate,NO_RESULTS,NO_RESULTS
3G market,-1.27897800000000000000,36.91572620000000000000
Along Flyover -Thika road,NO_RESULTS,NO_RESULTS
Along kinamba Road,NO_RESULTS,NO_RESULTS
Baragoi,1.78333300000000000000,36.78333300000000000000
Bara-Inya,-3.93333330000000000000,39.76666670000000000000
Baricho,-3.10000000000000000000,39.78333300000000000000
Bellevue,-1.28423610000000000000,36.83978950000000000000
Birithia,-0.52654290000000000000,36.94050390000000000000
Boiman,NO_RESULTS,NO_RESULTS
Boiman,NO_RESULTS,NO_RESULTS
Boiman,NO_RESULTS,NO_RESULTS
Bushi,NO_RESULTS,NO_RESULTS
Central Oljororok,NO_RESULTS,NO_RESULTS
Central Suguta,NO_RESULTS,NO_RESULTS
Chaaria,NO_RESULTS,NO_RESULTS
Chaka,-1.29048800000000000000,36.79045080000000000000
Charity,-0.29897780000000000000,36.07489320000000000000
Chera,-0.37508810000000000000,37.67273310000000000000
Chiakaringa,-0.27759870000000000000,37.91951250000000000000
Chiakaringa,-0.27759870000000000000,37.91951250000000000000
chobe,NO_RESULTS,NO_RESULTS
Chogoria,-0.22795350000000000000,37.63067820000000000000
Chomo,-0.90248850000000000000,36.89495440000000000000
Ciumbu Market,NO_RESULTS,NO_RESULTS
Ciumbu Market,NO_RESULTS,NO_RESULTS
Delmonte,-1.06112580000000000000,37.22915040000000000000
Delmonte,-1.06112580000000000000,37.22915040000000000000
Egerton Laikipia Campus,NO_RESULTS,NO_RESULTS
Egerton Laikipia Campus,NO_RESULTS,NO_RESULTS
Embaringo,0.62427880000000000000,36.06759520000000000000
Endarasha,-0.30670910000000000000,36.79364200000000000000
Engineer,-0.60637650000000000000,36.57631840000000000000
Fathi,-4.05360280000000000000,39.68579290000000000000
Flyover,-1.27051730000000000000,36.83779380000000000000
Flyover,-1.27051730000000000000,36.83779380000000000000
Flyover,-1.27051730000000000000,36.83779380000000000000
Flyover,-1.27051730000000000000,36.83779380000000000000
Flyover,-1.27051730000000000000,36.83779380000000000000
Gacatha,-0.54408240000000000000,37.38305730000000000000
Gacatha,-0.54408240000000000000,37.38305730000000000000
Gacharage,-0.75190660000000000000,36.87917430000000000000
Gacharage,-0.75190660000000000000,36.87917430000000000000
Gacharage,-0.75190660000000000000,36.87917430000000000000
Gachege,-0.90000000000000000000,36.80000000000000000000
Gachiche,-1.22114530000000000000,36.77956770000000000000
Gachiche,-1.22114530000000000000,36.77956770000000000000
Gachiche,-1.22114530000000000000,36.77956770000000000000
Gachoka,-0.61666700000000000000,37.53333300000000000000
Gachoka,-0.61666700000000000000,37.53333300000000000000
Gachuriri,-0.71478140000000000000,37.52113920000000000000
Gacuu Kimachia,NO_RESULTS,NO_RESULTS
Gaitheri,-1.31636300000000000000,36.83883350000000000000
Gakindu,-0.56407020000000000000,36.99954990000000000000
Gakindu,-0.56407020000000000000,36.99954990000000000000
Gakindu,-0.56407020000000000000,36.99954990000000000000
Gakindu,-0.56407020000000000000,36.99954990000000000000
Gakindu,-0.56407020000000000000,36.99954990000000000000
Gakindu,-0.56407020000000000000,36.99954990000000000000
Gakira,-0.68121000000000000000,36.96569100000000000000
Gakira,-0.68121000000000000000,36.96569100000000000000
Gakira Market,-0.68530420000000000000,36.96357070000000000000
Gakira Town,-0.68507990000000000000,36.96418180000000000000
Gakoe,-1.31201920000000000000,36.86367950000000000000
Gakoromone,0.04873040000000000000,37.66585350000000000000
Gakoromone,0.04873040000000000000,37.66585350000000000000
Gakui,-0.93887260000000000000,36.91984240000000000000
Gakui,-0.93887260000000000000,36.91984240000000000000
Gakungu,NO_RESULTS,NO_RESULTS
Gakungu,NO_RESULTS,NO_RESULTS
Gakungu,NO_RESULTS,NO_RESULTS
Gakurwe,-0.63333330000000000000,37.01666670000000000000
Gakurwe,-0.63333330000000000000,37.01666670000000000000
Gakuyu,-1.25433660000000000000,36.68166100000000000000
Gandu,NO_RESULTS,NO_RESULTS
Gangara,-0.62984400000000000000,37.71933000000000000000
Garage,-1.30504200000000000000,36.84719270000000000000
Garage,-1.30504200000000000000,36.84719270000000000000
Gatara,-0.72943960000000000000,36.87887880000000000000
Gategi,-0.75007020000000000000,37.42344240000000000000
Gategi,-0.75007020000000000000,37.42344240000000000000
Gategi Market,NO_RESULTS,NO_RESULTS
Gathage,-1.05106700000000000000,36.90707300000000000000
Gathanje,-1.08000000000000000000,36.78000000000000000000
Gathanje,-1.08000000000000000000,36.78000000000000000000
Gathanji,-0.60000000000000000000,36.91666690000000000000
Gatheru Town,-0.73000000000000000000,37.07000000000000000000
Gathigiriri,-0.69126800000000000000,37.40508840000000000000
Gathigiriri,-0.69126800000000000000,37.40508840000000000000
Gathugu,-0.90031880000000000000,36.97200630000000000000
Gatimbi,NO_RESULTS,NO_RESULTS
Gatimbi,NO_RESULTS,NO_RESULTS
Gatimbi,NO_RESULTS,NO_RESULTS
Gatimbi,NO_RESULTS,NO_RESULTS
Gatimbi,NO_RESULTS,NO_RESULTS
Gatitu,-0.89414200000000000000,37.03957000000000000000
Gatitu,-0.89414200000000000000,37.03957000000000000000
Gatitu,-0.89414200000000000000,37.03957000000000000000
Gatitu,-0.89414200000000000000,37.03957000000000000000
Gatube,NO_RESULTS,NO_RESULTS
Gatugi,-0.53527740000000000000,36.96183120000000000000
Gatugura,-0.53876940000000000000,37.03735020000000000000
Gatugura,-0.53876940000000000000,37.03735020000000000000
Gatuinja,NO_RESULTS,NO_RESULTS
Gatukuyu,-0.98506480000000000000,36.96674230000000000000
Gatukuyu,-0.98506480000000000000,36.96674230000000000000
Gatukuyu,-0.98506480000000000000,36.96674230000000000000
Gatukuyu,-0.98506480000000000000,36.96674230000000000000
Gatukuyu,-0.98506480000000000000,36.96674230000000000000
gatukuyu,-0.98506480000000000000,36.96674230000000000000
Gatumba,-3.33333300000000000000,29.25000000000000000000
Gatumbi,-0.42014190000000000000,37.39232120000000000000
Gatumbi,-0.42014190000000000000,37.39232120000000000000
Gatumbiro,-0.46141010000000000000,36.86793920000000000000
Gatundia,-1.01306450000000000000,36.90505660000000000000
Gatundia,-1.01306450000000000000,36.90505660000000000000
Gatundia,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
Gatundu,-1.01306450000000000000,36.90505660000000000000
gatunga market,-0.10120200000000000000,38.00758150000000000000
Gatunganga,-0.41666700000000000000,37.05000000000000000000
Gatunguru,-0.48410610000000000000,37.30474500000000000000
Gatunyu,-1.01306450000000000000,36.90505660000000000000
Gatunyu,-1.01306450000000000000,36.90505660000000000000
Gatunyu,-1.01306450000000000000,36.90505660000000000000
Gatunyu,-1.01306450000000000000,36.90505660000000000000
Gatura,-0.53876940000000000000,37.03735020000000000000
Gatura,-0.53876940000000000000,37.03735020000000000000
Gatura,-0.53876940000000000000,37.03735020000000000000
Gatura,-0.53876940000000000000,37.03735020000000000000
Gatura,-0.53876940000000000000,37.03735020000000000000
Gatura,-0.53876940000000000000,37.03735020000000000000
Gaturuturu,-0.51103990000000000000,36.89423560000000000000
Gatuya Town,NO_RESULTS,NO_RESULTS
Gatuya Town,NO_RESULTS,NO_RESULTS
Gatuya Town,NO_RESULTS,NO_RESULTS
Getumbi Market,NO_RESULTS,NO_RESULTS
Getumbi Market,NO_RESULTS,NO_RESULTS
Giagatika,-0.48013130000000000000,37.08452220000000000000
Giakaibei,-0.41467840000000000000,37.15939880000000000000
Giakaibei,-0.41467840000000000000,37.15939880000000000000
Giakanja,-0.45822340000000000000,36.94906910000000000000
Giakanja,-0.45822340000000000000,36.94906910000000000000
Giakanja,-0.45822340000000000000,36.94906910000000000000
Giaki,0.02951500000000000000,37.76731610000000000000
Giaki,0.02951500000000000000,37.76731610000000000000
Giathenge,-1.32387940000000000000,36.80300930000000000000
Gichiengo,NO_RESULTS,NO_RESULTS
Gichiengo,NO_RESULTS,NO_RESULTS
Gichira,-0.48225540000000000000,36.99976830000000000000
Gichugo,-1.27741870000000000000,36.79171510000000000000
Gikoe,-1.27011240000000000000,36.84776630000000000000
Gikoe,-1.27011240000000000000,36.84776630000000000000
Gikondi,-0.56935870000000000000,37.04438480000000000000
Gikondi,-0.56935870000000000000,37.04438480000000000000
Githabai,-0.73250210000000000000,36.56886220000000000000
Githabai,-0.73250210000000000000,36.56886220000000000000
Githambo,-0.70662810000000000000,36.87146160000000000000
Githambo Town,NO_RESULTS,NO_RESULTS
Githangara Market,NO_RESULTS,NO_RESULTS
Githara,-1.20641510000000000000,36.91379400000000000000
Githembe,-1.29720680000000000000,36.75007850000000000000
Githeru Market,NO_RESULTS,NO_RESULTS
Githiga,-1.08649510000000000000,36.73371880000000000000
Githiga,-1.08649510000000000000,36.73371880000000000000
Githioro,-0.46666700000000000000,36.50000000000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githongo,-0.00643730000000000000,37.59261850000000000000
Githumu,-0.82653700000000000000,36.91339190000000000000
Githumu,-0.82653700000000000000,36.91339190000000000000
Githumu,-0.82653700000000000000,36.91339190000000000000
Githunguri,-1.05863360000000000000,36.77791080000000000000
Githure Market,-1.18509470000000000000,36.90312230000000000000
Githure Market,-1.18509470000000000000,36.90312230000000000000
Githure Market,-1.18509470000000000000,36.90312230000000000000
Gitimbine,NO_RESULTS,NO_RESULTS
Gitimbine,NO_RESULTS,NO_RESULTS
Gitimbine,NO_RESULTS,NO_RESULTS
Gitoro,0.06065010000000000000,37.63486860000000000000
Gituamba,-1.23692240000000000000,36.91312200000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugi,-0.51351810000000000000,36.86141610000000000000
Gitugu,-0.70679790000000000000,36.85465840000000000000
Gitunduti,-1.01306450000000000000,36.90505660000000000000
Gonda,0.06534400000000000000,34.49629520000000000000
Gonda,0.06534400000000000000,34.49629520000000000000
Gonda,0.06534400000000000000,34.49629520000000000000
Gumba,-0.41666670000000000000,34.11666670000000000000
Gwa Kahii,NO_RESULTS,NO_RESULTS
Gwa Kung'u,NO_RESULTS,NO_RESULTS
Gwa Kung'u,NO_RESULTS,NO_RESULTS
Gwa Kung'u,NO_RESULTS,NO_RESULTS
Heni,-0.78333290000000000000,36.55000000000000000000
Heni,-0.78333290000000000000,36.55000000000000000000
Ichagaki,-0.81001540000000000000,37.08815560000000000000
Ichamara,-0.54988200000000000000,37.08815560000000000000
Ichamara,-0.54988200000000000000,37.08815560000000000000
Ichamara,-0.54988200000000000000,37.08815560000000000000
Ichamara,-0.54988200000000000000,37.08815560000000000000
Icuga,-0.44330030000000000000,37.11029290000000000000
Igegania,-0.97479650000000000000,36.92817090000000000000
Igegania,-0.97479650000000000000,36.92817090000000000000
Igikiro,-0.82000000000000000000,37.18000000000000000000
Ihururio,-0.41105850000000000000,36.89228470000000000000
Ihururu,-0.41105850000000000000,36.89228470000000000000
Ihururu,-0.41105850000000000000,36.89228470000000000000
Ihururu,-0.41105850000000000000,36.89228470000000000000
Ihwagi,-0.43800130000000000000,37.14992670000000000000
Ihwagi,-0.43800130000000000000,37.14992670000000000000
Ikumbi,-1.28023650000000000000,36.71265810000000000000
Issaco Estate,NO_RESULTS,NO_RESULTS
Ithanga,-0.93333330000000000000,37.35000000000000000000
Ithanga,-0.93333330000000000000,37.35000000000000000000
Ithanga,-0.93333330000000000000,37.35000000000000000000
Ithekahuno,-0.50867360000000000000,37.04506550000000000000
Ithekahuno,-0.50867360000000000000,37.04506550000000000000
Itundu,-1.01306450000000000000,36.90505660000000000000
Itundu,-1.01306450000000000000,36.90505660000000000000
Juakali,-1.04918860000000000000,37.09536270000000000000
Kaaga,0.07023090000000000000,37.64797930000000000000
Kaanwa,-1.18333300000000000000,36.91666690000000000000
Kabachi,-0.56905390000000000000,37.66219760000000000000
Kabare,-0.50433920000000000000,37.30631020000000000000
Kabare,-0.50433920000000000000,37.30631020000000000000
Kabare,-0.50433920000000000000,37.30631020000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
Kabati,-0.95000000000000000000,37.10000000000000000000
