Company,Type,Lat,Lng
MKOPA,solar,0.0777395,35.07233
MKOPA,solar,1.4959744,35.4727149
MKOPA,solar,0.8343561,34.8638624
MKOPA,solar,0.9667832,35.15095
MKOPA,solar,0.3239892,35.1051773
MKOPA,solar,-0.3627385,35.1715614
MKOPA,solar,-0.0018807,36.2278245
MKOPA,solar,-0.0018807,36.2278245
MKOPA,solar,-0.6906735,35.1110613
MKOPA,solar,-0.6906735,35.1110613
MKOPA,solar,0.6800554,35.3880277
MKOPA,solar,0.6342241,35.0470761
MKOPA,solar,0.6342241,35.0470761
MKOPA,solar,0.616667,34.766667
MKOPA,solar,1.5924438,35.2853616
MKOPA,solar,0.8342805,35.246438
MKOPA,solar,0.5695252,34.5583766
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.216667,34.5
MKOPA,solar,0.7358836,34.5777565
MKOPA,solar,0.616667,34.766667
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.4607691,34.1114621
MKOPA,solar,0.5695252,34.5583766
MKOPA,solar,0.3,34.2
MKOPA,solar,0.333333,34.483333
MKOPA,solar,0.5695252,34.5583766
MKOPA,solar,0.5695252,34.5583766
MKOPA,solar,0.5695252,34.5583766
MKOPA,solar,0.5695252,34.5583766
MKOPA,solar,0.5695252,34.5583766
MKOPA,solar,0.3416124,34.3352003
MKOPA,solar,0.4607691,34.1114621
MKOPA,solar,0.4607691,34.1114621
MKOPA,solar,0.4607691,34.1114621
MKOPA,solar,-0.083333,35.133333
MKOPA,solar,-0.083333,35.133333
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.2827307,34.7518631
MKOPA,solar,0.1799594,34.6346638
MKOPA,solar,0.1799594,34.6346638
MKOPA,solar,0.636206,34.2782765
MKOPA,solar,0.636206,34.2782765
MKOPA,solar,0.636206,34.2782765
MKOPA,solar,0.636206,34.2782765
MKOPA,solar,0.636206,34.2782765
MKOPA,solar,0.4450431,34.8541389
MKOPA,solar,0.5628257,34.8060527
MKOPA,solar,0.2326373,34.523962
MKOPA,solar,0.1102302,34.8306809
MKOPA,solar,0.0921041,34.7298765
MKOPA,solar,0.616667,34.766667
MKOPA,solar,0.616667,34.766667
MKOPA,solar,0.616667,34.766667
SUN_TRANSFER,solar,-3.527136,39.853284
SUN_TRANSFER,solar,-2.969136,37.604938
SUN_TRANSFER,solar,-1.415498,35.325362
SUN_TRANSFER,solar,-2.038822,37.367648
SUN_TRANSFER,solar,-1.9079,37.527099
SUN_TRANSFER,solar,-1.327415,37.337621
SUN_TRANSFER,solar,-1.337199,36.987498
SUN_TRANSFER,solar,-0.869415,36.507598
SUN_TRANSFER,solar,-0.140008,36.622184
SUN_TRANSFER,solar,-0.147023,37.131575
SUN_TRANSFER,solar,0.161263,37.602388
SUN_TRANSFER,solar,-1.741083,36.904363
POWERHIVE,microgrid,-0.677746,34.771937
POWERHIVE,microgrid,-0.677746,34.771937
government,microgrid,-1.696759,41.422484
government,microgrid,-1.97859,41.034969
government,microgrid,-2.380224,40.700589
government,microgrid,-1.118045,41.028565
government,microgrid,-1.447941,39.969083
government,green_fields,0.330094,40.772535
government,microgrid,0.098311,40.268419
government,microgrid,1.019452,39.441247
government,microgrid,1.755988,40.009927
government,microgrid,2.808062,40.912624
government,green_fields,3.420693,40.893179
government,microgrid,3.881934,41.775344
government,microgrid,3.89334,41.162483
government,microgrid,3.867811,40.428832
government,microgrid,3.381175,40.166971
government,microgrid,2.509077,39.555135
government,microgrid,3.46981,39.004505
government,microgrid,1.060663,38.59676
government,microgrid,1.596587,37.751867
government,microgrid,2.336107,37.924734
government,green_fields,2.774124,38.068106
government,microgrid,3.691216,37.914287
government,microgrid,2.965642,37.615613
government,green_fields,4.006785,37.230346
government,microgrid,3.32396,37.036166
government,green_fields,3.014514,36.959043
government,microgrid,2.771681,36.743742
government,green_fields,2.103473,36.757726
government,microgrid,1.7626,36.785508
government,green_fields,1.673213,36.022988
government,microgrid,1.963787,35.978659
government,green_fields,3.00001,36.035058
government,green_fields,3.540341,35.755769
government,green_fields,4.03521,35.770891
government,green_fields,4.265026,35.796637
government,microgrid,4.29332,35.727187
government,green_fields,4.59116,35.893492
government,green_fields,5.273254,35.767796
government,green_fields,5.007949,35.530304
government,green_fields,3.943861,35.443009
government,green_fields,3.79305,34.313221
government,green_fields,3.711657,34.845995
government,green_fields,3.665346,34.9883
government,green_fields,2.922863,35.387896
government,green_fields,2.737701,34.827234
government,green_fields,2.280222,35.610184
government,microgrid,-0.534739,34.487577
