"","WARD"
"6563","KAPEDO/NAPEITOM"
"6577","KAPENGURIA"
"6589","KAPKANGANI"
"6615","KAPKATENY"
"6638","KAPKUGERWET"
"6744","KAPKURES"
"6808","KAPROPITA"
"6811","KAPSABET"
"6832","KAPSASIAN"
"6853","KAPSIMOTWO"
"6884","KAPSOWAR"
"6925","KAPTAMA"
"6960","KAPTARAKWA"
"6987","KAPTEL/KAMOIYWO"
"7040","KAPTUMO-KABOI"
"7046","KAPUTIR"
"7068","KAPYEGO"
"7095","KARAI"
"7105","KARAU"
"7119","KAREN"
"7123","KARIARA"
"7165","KARIMA"
"7406","KARIOBANGI NORTH"
"7410","KARIOBANGI SOUTH"
"7412","KARITI"
"7452","KARUMANDI"
"7471","KARURA"
"7476","KARURI"
"7484","KASARANI"
"7489","KASEI"
"7500","KASGUNGA"
"7548","KASIKEU"
"7587","KATANGI"
"7610","KATHIANI CENTRAL"
"7646","KATHONZWENI"
"7739","KATILIA"
"7751","KATILU"
"7762","KAWANGWARE"
"7774","KAYAFUNGO"
"7787","KAYOLE CENTRAL"
"7788","KAYOLE NORTH"
"7789","KAYOLE SOUTH"
"7792","KEE"
"7827","KEEKONYOKIE"
"7877","KEIYO"
"8197","KEMBU"
"8214","KEMELOI-MARABA"
"8234","KERIO DELTA"
"8271","KERUGOYA"
"8302","KHALABA"
"8340","KHALALIO"
"8344","KHASOKO"
"8366","KHOLERA"
"8388","KIAGU"
"8397","KIAMAIKO"
"8398","KIAMBERE"
"8426","KIAMWANGI"
"8618","KIBAUNI"
"8659","KIBIRI"
"8686","KIBIRICHIA"
"8702","KIBISH"
"8713","KIGANJO"
"8745","KIGUMO"
"8773","KIHARA"
"8780","KIINE"
"8851","KIKUMBULYU NORTH"
"8865","KIKUMBULYU SOUTH"
"8875","KIKUYU"
"8881","KILGORIS CENTRAL"
"8901","KILIBWONI"
"8945","KILIMANI"
"8953","KILUNGU"
"8990","KIMANA"
"8996","KIMILILI"
"9019","KIMORORI/WEMPA"
"9030","KINAKOMBA"
"9054","KINALE"
"9063","KINANGO"
"9092","KINANIE"
"9111","KINGANDOLE"
"9123","KINONDO"
"9133","KINOO"
"9134","KINYONA"
"9169","KINYORO"
"9377","KIPCHIMCHIM"
"9379","KIPINI EAST"
"9392","KIPINI WEST"
"9396","KIPKAREN"
"9423","KIPRERES"
"9432","KIRU"
"9464","KISA EAST"
"9542","KISA NORTH"
"9556","KISA WEST"
"9570","KISANANA"
"9607","KISASI"
"9651","KISIMA"
"9655","KISUMU NORTH"
"9680","KITENGELA"
"9683","KITHIMANI"
"9704","KITHIMU"
"9716","KITISURU"
"9723","KIUNGA"
"9729","KIVAA"
"9761","KIWAWA"
"9783","KOBUJOI"
"9833","KOBURA"
"9850","KOCHIA"
"9875","KODICH"
"9888","KOIBATEK"
"9905","KOJWACH"
"9954","KOKWANYO/KAKELO"
"9985","KOLA"
"10026","KOLWA CENTRAL"
"10037","KOLWA EAST"
"10040","KOMAROCK"
"10042","KONDELE"
"10044","KONGONI"
"10065","KOROGOCHO"
"10067","KOSIRAI"
"10073","KOYO-NDURIO"
"10086","KOYONZO"
"10113","KUBO SOUTH"
"10145","KUKU"
"10162","KUTULO"
"10183","KWA NJENGA"
"10184","KWA REUBEN"
"10185","KWABWAI"
"10216","KWARE"
"10217","KYANGWITHYA EAST"
"10241","KYELENI"
"10258","KYENI SOUTH"
"10289","KYUSO"
"10327","LAGBOGHOL SOUTH"
"10341","LAINI SABA"
"10344","LAMBWE"
"10402","LAPUR"
"10418","LELAN"
"10506","LELMOKWO/NGECHEK"
"10536","LEMBUS"
"10537","LEMBUS KWEN"
"10565","LESHAU PONDO"
"10595","LETEA"
"10607","LIBOI"
"10612","LIMURU CENTRAL"
"10623","LIMURU EAST"
"10700","LINDI"
"10701","LODOKEJEK"
"10714","LODWAR TOWNSHIP"
"10721","LOIMA"
"10727","LOITA"
"10741","LOIYAMOROCK"
"10750","LOKICHAR"
"10764","LOLGORIAN"
"10796","LOOSUK"
"10801","LOPUR"
"10802","LUMAKANDA"
"10814","LUSHEYA/LUBINU"
"10966","LWANDETI"
"10990","MAALIMIN"
"10992","MABATINI"
"10994","MACHAKOS CENTRAL"
"11017","MADOGO"
"11030","MAENI"
"11053","MAGARINI"
"11081","MAGUMONI"
"11117","MAGUMU"
"11120","MAGUTU"
"11139","MAHOO"
"11153","MAKIMA"
"11175","MAKINA"
"11178","MAKINDU"
"11233","MAKONGENI"
"11237","MAKUTANO"
"11338","MAKUYU"
"11360","MALABA CENTRAL"
"11370","MALABA NORTH"
"11388","MALABA SOUTH"
"11410","MALINDI TOWN"
"11425","MARA"
"11457","MARACHI CENTRAL"
"11466","MARACHI EAST"
"11478","MARACHI NORTH"
"11495","MARAFA"
"11512","MARAKA"
"11534","MARAKARU/TUUTI"
"11552","MARALAL"
"11563","MARAMA CENTRAL"
"11587","MARAMA SOUTH"
"11653","MARAMA WEST"
"11673","MARIAKANI"
"11699","MARINGO/HAMZA"
"11712","MARKET MILIMANI"
"11715","MARUNGU"
"11742","MASALANI"
"11772","MASII"
"11785","MASINGA CENTRAL"
"11832","MASOGO/NYANG'OMA"
"11844","MASONGALENI"
"11898","MASOOL"
"11914","MATA"
"12074","MATHARE NORTH"
"12079","MATULO"
"12094","MATUNGULU EAST"
"12127","MATUNGULU NORTH"
"12157","MATUNGULU WEST"
"12187","MATUU"
"12206","MAUTUMA"
"12223","MAVINDINI"
"12281","MAVURIA"
"12324","MAYENJE"
"12331","MAYONI"
"12410","MBAKALO"
"12425","MBETI NORTH"
"12465","MBETI SOUTH"
"12510","MBIRI"
"12536","MBIRIKANI/ESELENKEI"
"12543","MBITINI"
"12679","MBOGHONI"
"12708","MBOLOLO"
"12765","MBOONI"
"12788","MELELO"
"12799","MELILI"
"12842","MERIGI"
"12850","METKEI"
"12883","MFANGANO ISLAND"
"12945","MIGOSI"
"12949","MIGWANI"
"12966","MIKINDUNI"
"12974","MILIMA"
"13005","MIRANGINE"
"13022","MISIKHU"
"13056","MIWANI"
"13087","MKOMANI"
"13109","MKONGANI"
"13125","MKUNUMBI"
"13135","MNARANI"
"13144","MOCHONGOI"
"13150","MOGONDO"
"13161","MOGOTIO"
"13208","MOSIRO"
"13258","MOTOSIET"
"13280","MOUNTAIN VIEW"
"13284","MTEPENI"
"13292","MTITO ANDEI"
"13356","MUA"
"13367","MUCHATHA"
"13374","MUGOIRI"
"13413","MUGUGA"
"13428","MUGUMO-INI"
"13454","MUGUNDA"
"13475","MUGURU"
"13503","MUHORONI/KORU"
"13506","MUKURE"
"13556","MUKUTANI"
"13573","MUMBUNI NORTH"
"13595","MUMIAS NORTH"
"13605","MUMINJI"
"13627","MUMONI"
"13704","MURARANDIA"
"13736","MURERA"
"13742","MURUKA"
"13757","MURUNGARU"
"13925","MUSIKOMA"
"13944","MUTHA"
"13981","MUTHESYA"
"14015","MUTHETHENI"
"14057","MUTHITHI"
"14082","MUTHWANI"
"14095","MUTIRA"
"14119","MUTITO/KALIKU"
"14154","MUTONGUNI"
"14196","MWANAMWINGA"
"14211","MWANGANTHIA"
"14232","MWARAKAYA"
"14247","MWATATE"
"14265","MWAVUMBO"
"14276","MWAWESA"
"14292","MWEA"
"14338","MWEIGA"
"14360","MWERENI"
"14363","MWIKI"
"14370","NACHOLA"
"14376","NACHU"
"14389","NAIKARRA"
"14407","NAIROBI CENTRAL"
"14419","NAIROBI SOUTH"
"14425","NAIROBI WEST"
"14431","NAITIRI/KABUYEFWE"
"14456","NAKALALE"
"14465","NAMAMALI"
"14478","NAMBALE TOWNSHIP"
"14483","NAMWELA"
"14514","NANDI HILLS"
"14539","NANIGHI"
"14546","NDALANI"
"14578","NDALAT"
"14599","NDARUGU"
"14627","NDAVAYA"
"14718","NDEIYA"
"14746","NDENDERU"
"14847","NDITHINI"
"14915","NDOTO"
"14931","NDUMBERI"
"14945","NEBOI"
"14953","NGANDO"
"14955","NGARA"
"14963","NGARIAMA"
"15044","NGECHA TIGONI"
"15057","NGENDA"
"15087","NGEWA"
"15178","NGINDA"
"15280","NGOLIA"
"15301","NGOLIBA"
"15311","NGOMENI"
"15342","NGONG"
"15519","NGUNI"
"15562","NGUU/MASUMBA"
"15618","NGUUMO"
"15672","NGUUTANI"
"15710","NJIRU"
"15712","NKAIMURUNYA"
"15716","NKARETA"
"15725","NKUENE"
"15741","NORTH ALEGO"
"15764","NORTH EAST BUNYORE"
"15785","NORTH GEM"
"15804","NORTH KARACHUONYO"
"15835","NORTH NYAKACH"
"15854","NORTH SAKWA"
"15878","NORTH SEME"
"15900","NTHAWA"
"15944","NYAKIO"
"15969","NYALENDA B"
"15976","NYANDUMA"
"16003","NYANGATI"
"16017","NYIRO"
"16040","NZAMBANI"
"16051","NZAUI/KILILI/KALAMBA"
"16132","NZOIA"
"16160","OLDONYIRO"
"16162","OLKERI"
"16177","OLOKURTO"
"16188","OLOLULUNG'A"
"16213","OLOOLUA"
"16219","OLORROPIL"
"16228","OLPUSIMORU"
"16234","OMBEYI"
"16247","ONGATA RONGAI"
"16251","PANGANI"
"16257","PIPELINE"
"16258","PUMA"
"16275","PUMWANI"
"16281","PURKO"
"16424","RAILWAYS"
"16429","RAMISI"
"16615","RAVINE"
"16629","RHAMU"
"16637","RIABAI"
"16641","RIBKWO"
"16662","RIRUTA"
"16685","RIWO"
"16714","ROMBO"
"16821","ROYSAMBU"
"16825","RUAI"
"16831","RUCHU"
"16867","RUGURU"
"16908","RUGURU/NGANDORI"
"16910","RURII"
"17108","RURUMA"
"17114","RWARE"
"17115","RWATHIA"
"17137","SABAKI"
"17152","SABENA"
"17154","SACHO"
"17169","SAGAMIAN"
"17183","SAIMO/KIPSARAMAN"
"17198","SAKA"
"17204","SALA"
"17207","SAMBIRIR"
"17233","SANGAILU"
"17245","SANGO"
"17268","SANKURI"
"17280","SARMAN"
"17289","SEKERR"
"17303","SENGWER"
"17340","SHAMATA"
"17459","SHANKOE"
"17469","SHIMO LA TEWA"
"17473","SHIRERE"
"17477","SIANA"
"17505","SIBOTI"
"17514","SIGONA"
"17529","SIGOR"
"17540","SILALE"
"17545","SINGORWET"
"17546","SINOKO"
"17582","SIONGIROI"
"17605","SIRENDE"
"17627","SOGOO"
"17644","SOKOKE"
"17680","SOKONI"
"17688","SONGHOR/SOBA"
"17813","SONGOT"
"17820","SOOK"
"17860","SOUTH BUKUSU"
"17879","SOUTH C"
"17882","SOUTH EAST ALEGO"
"17925","SOUTH EAST NYAKACH"
"17950","SOUTH GEM"
"17955","SOUTH KABRAS"
"17990","SOUTH KASIPUL"
"18009","SOUTH WEST NYAKACH"
"18036","SOY"
"18070","SOY NORTH"
"18120","SUAM"
"18130","SUGUTA MARMAR"
"18144","SUSWA"
"18158","TALA"
"18175","TAMBACH"
"18192","TANGULBEI/KOROSSI"
"18207","TAPACH"
"18243","TARBAJ"
"18266","TEBESONIK"
"18433","TENGES"
"18457","TERIK"
"18486","THANGE"
"18528","THARAKA"
"18556","THEGU RIVER"
"18797","THETA"
"18804","THIBA"
"18827","TIMAU"
"18834","TIRIOKO"
"18851","TIWI"
"18874","TOWNSHIP"
"19270","TULIMANI"
"19333","TURKWEL"
"19357","UGUNJA"
"19362","UKIA"
"19403","UKUNDA"
"19407","UKWALA"
"19597","UMOJA I"
"19598","UPPER KAEWA/IVETI"
"19632","USONGA"
"19646","UTALII"
"19647","UTAWALA"
"19649","UTHIRU"
"19652","UTHIRU/RUTHIMITU"
"19661","VANGA"
"19692","VIWANDANI"
"19696","WAA"
"19750","WABERA"
"19761","WABERI"
"19837","WAGBERI"
"19842","WAITHAKA"
"19845","WAMBA NORTH"
"19856","WAMBA WEST"
"19866","WAMUMU"
"20054","WAMUNYU"
"20105","WANGU"
"20143","WANJOHI"
"20249","WARGADUD"
"20273","WASO"
"20278","WATAMU"
"20293","WAYU"
"20303","WERU"
"20337","WERUGHA"
"20363","WEST ASEMBO"
"20380","WEST BUNYORE"
"20451","WEST GEM"
"20559","WEST KABRAS"
"20575","WEST KAMAGAK"
"20585","WEST KARACHUONYO"
"20631","WEST KASIPUL"
"20662","WEST KISUMU"
"20684","WEST NYAKACH"
"20704","WEST SAKWA"
"20752","WEST SEME"
"20787","WEST UYOMA"
"20815","WITEITHIE"
"20822","WITU"
"20829","WOTE"
"20858","WUSI/KISHAMBA"
"20893","YALA TOWNSHIP"
"20911","YIMBO EAST"
"20923","ZIMMERMAN"
"20926","ZIWANI/KARIOKOR"
