"","TOWN","LAT","LNG"
"410","Kangari","-0.7857493","36.9111145"
"411","Kangema","-0.68461","36.9635102"
"412","Kangema","-0.68461","36.9635102"
"413","Kangema","-0.68461","36.9635102"
"414","Kangema","-0.68461","36.9635102"
"415","Kangema","-0.68461","36.9635102"
"416","Kangema","-0.68461","36.9635102"
"417","Kangema","-0.68461","36.9635102"
"418","Kangema","-0.68461","36.9635102"
"419","Kangema","-0.68461","36.9635102"
"420","Kangema","-0.68461","36.9635102"
"421","kangema","-0.68461","36.9635102"
"422","Kangema","-0.68461","36.9635102"
"423","Kangema","-0.68461","36.9635102"
"424","Kangema","-0.68461","36.9635102"
"425","Kangema","-0.68461","36.9635102"
"426","Kangema","-0.68461","36.9635102"
"427","Kangema","-0.68461","36.9635102"
"428","Kangema","-0.68461","36.9635102"
"429","Kangema","-0.68461","36.9635102"
"430","Kangui","-0.0507581","36.3966939"
"431","Kangui","-0.0507581","36.3966939"
"432","Kangui","-0.0507581","36.3966939"
"433","Kangunduini","-1.3055671","37.3453215"
"434","Kangunduini","-1.3055671","37.3453215"
"435","Kangunduini","-1.3055671","37.3453215"
"437","Kanunga","-0.8281633","36.8781657"
"438","Kanunga","-0.8281633","36.8781657"
"439","Kanyenyaini","-0.6881085","36.8922847"
"440","Kanyenyaini","-0.6881085","36.8922847"
"441","Kanyenyaini","-0.6881085","36.8922847"
"442","Kanyenyaini","-0.6881085","36.8922847"
"443","Kanyenyaini","-0.6881085","36.8922847"
"444","Kanyenyaini","-0.6881085","36.8922847"
"445","Kanyoni","-1.2979735","36.861565"
"446","Kanyoni","-1.2979735","36.861565"
"447","Kanyotu","-0.4928337","37.2686291"
"448","Karaba","-0.7700832","37.3680322"
"449","Karaba","-0.7700832","37.3680322"
"450","Karaba","-0.7700832","37.3680322"
"451","Karaini","-1.2808046","36.8183623"
"452","Karama","0.2369488","37.8351534"
"453","karandi","0.2771382","36.3176381"
"454","Karandi","0.2771382","36.3176381"
"455","Karandi","0.2771382","36.3176381"
"456","Karandi","0.2771382","36.3176381"
"457","Karangatha","-0.7830734","36.6353273"
"458","Karangatha","-0.7830734","36.6353273"
"459","Karangatha","-0.7830734","36.6353273"
"460","Karatina","-0.483158","37.1273549"
"461","Karatina","-0.483158","37.1273549"
"462","Karatina","-0.483158","37.1273549"
"463","Karatina","-0.483158","37.1273549"
"464","Karatina","-0.483158","37.1273549"
"465","Karatina","-0.483158","37.1273549"
"466","Karatina","-0.483158","37.1273549"
"467","Karatina","-0.483158","37.1273549"
"468","Karatina","-0.483158","37.1273549"
"469","Karatina","-0.483158","37.1273549"
"470","Karatina","-0.483158","37.1273549"
"471","Karatina","-0.483158","37.1273549"
"472","Karatina","-0.483158","37.1273549"
"473","Karatina","-0.483158","37.1273549"
"474","Karatina","-0.483158","37.1273549"
"475","Karatina","-0.483158","37.1273549"
"476","Karatina","-0.483158","37.1273549"
"477","Karatina","-0.483158","37.1273549"
"478","Karatina","-0.483158","37.1273549"
"479","Karatina","-0.483158","37.1273549"
"480","Karatina","-0.483158","37.1273549"
"481","Karatina","-0.483158","37.1273549"
"482","Karatina","-0.483158","37.1273549"
"483","Karatina","-0.483158","37.1273549"
"484","Karatina","-0.483158","37.1273549"
"485","Karatina","-0.483158","37.1273549"
"486","Karatina","-0.483158","37.1273549"
"487","Karatina","-0.483158","37.1273549"
"488","Karatina","-0.483158","37.1273549"
"489","Karatina","-0.483158","37.1273549"
"490","Karatina","-0.483158","37.1273549"
"491","Karatina","-0.483158","37.1273549"
"492","Karatina","-0.483158","37.1273549"
"493","Karatina","-0.483158","37.1273549"
"494","Karatina","-0.483158","37.1273549"
"495","Karatina","-0.483158","37.1273549"
"496","Karatina","-0.483158","37.1273549"
"497","Karatina","-0.483158","37.1273549"
"498","Karatina","-0.483158","37.1273549"
"499","Karatina","-0.483158","37.1273549"
"500","Karatina","-0.483158","37.1273549"
"501","Karatina","-0.483158","37.1273549"
"502","Karatina","-0.483158","37.1273549"
"503","Karatina","-0.483158","37.1273549"
"504","Karatina","-0.483158","37.1273549"
"505","Karatina","-0.483158","37.1273549"
"506","Karatina","-0.483158","37.1273549"
"507","Karatu","-0.9455109","36.8251848"
"508","Karatu","-0.9455109","36.8251848"
"511","Kariene","-0.0406247","37.6646706"
"512","Kariene","-0.0406247","37.6646706"
"513","Kariene","-0.0406247","37.6646706"
"514","Kariene","-0.0406247","37.6646706"
"515","Kariene","-0.0406247","37.6646706"
"516","Karii","-1.2592901","36.7508378"
"517","Karii","-1.2592901","36.7508378"
"518","Kariko","-0.577738","36.8856096"
"519","Kariko","-0.577738","36.8856096"
"520","Karingari","-0.469398","37.5064766"
"521","Kariti","-1.2592901","36.7508378"
"529","Karugia","-0.8947271","37.12129"
"530","Karumaindo","0.0140655","37.0804077"
"531","Karumandi","-0.4679652","37.345469"
"532","Karumandi","-0.4679652","37.345469"
"533","Karumandi","-0.4679652","37.345469"
"534","Karumandi","-0.4679652","37.345469"
"535","Karumandi","-0.4679652","37.345469"
"536","Karumandi","-0.4679652","37.345469"
"538","Karurumo","-0.466667","37.65"
"539","Karurumo","-0.466667","37.65"
"540","Karurumo","-0.466667","37.65"
"541","Karurumo","-0.466667","37.65"
"542","Kasarani","-1.2278411","36.9057288"
"543","Kaseve","-1.5222427","37.3365587"
"544","Kasuku","-0.1335554","36.3795987"
"545","Kasuku","-0.1335554","36.3795987"
"546","Kasuku","-0.1335554","36.3795987"
"547","Kasuku","-0.1335554","36.3795987"
"548","Kasuku","-0.1335554","36.3795987"
"549","Kathageri","-0.3889824","37.5980674"
"550","Kathageri","-0.3889824","37.5980674"
"551","kathangarire","-0.4094418","37.4501307"
"555","Kathanjuri","-0.4258853","37.6093831"
"556","Kathanjuri","-0.4258853","37.6093831"
"557","Katharaka","-0.2468741","37.6414896"
"558","Katharaka","-0.2468741","37.6414896"
"559","Katheri","0.0152438","37.5940732"
"560","Katheri","0.0152438","37.5940732"
"561","Katheri","0.0152438","37.5940732"
"562","Katheri","0.0152438","37.5940732"
"564","katwana","-0.3273618","37.8663808"
"565","Kawendo","-0.9241204","37.0060623"
"566","Kaweru","-0.65","37.1"
"570","Kemu","-1.2812075","36.8179123"
"571","Kemu","-1.2812075","36.8179123"
"572","Kenol","-1.3690902","37.2256372"
"589","Kerugoya","-0.5","37.283333"
"590","Kerugoya","-0.5","37.283333"
"591","Kerugoya","-0.5","37.283333"
"592","Kerugoya","-0.5","37.283333"
"593","Kerugoya","-0.5","37.283333"
"594","Kerugoya","-0.5","37.283333"
"595","Kerugoya","-0.5","37.283333"
"596","Kerugoya","-0.5","37.283333"
"597","Kerugoya","-0.5","37.283333"
"598","Kerugoya","-0.5","37.283333"
"599","Kerugoya","-0.5","37.283333"
"600","Kerugoya","-0.5","37.283333"
"601","Kerugoya","-0.5","37.283333"
"602","Kerugoya","-0.5","37.283333"
"603","Kerugoya","-0.5","37.283333"
"604","Kerugoya","-0.5","37.283333"
"605","Kerugoya","-0.5","37.283333"
"606","Kerugoya","-0.5","37.283333"
"607","Kerugoya","-0.5","37.283333"
"608","Kerugoya","-0.5","37.283333"
"609","Kerugoya","-0.5","37.283333"
"610","Kerugoya","-0.5","37.283333"
"611","Kerugoya","-0.5","37.283333"
"612","Kerugoya","-0.5","37.283333"
"613","Kerugoya","-0.5","37.283333"
"614","Kerugoya","-0.5","37.283333"
"615","Kerugoya","-0.5","37.283333"
"616","Kerugoya","-0.5","37.283333"
"617","Kerugoya","-0.5","37.283333"
"618","Kerugoya","-0.5","37.283333"
"619","Kerugoya","-0.5","37.283333"
"620","Kerugoya","-0.5","37.283333"
"621","Kerugoya","-0.5","37.283333"
"622","Kerugoya","-0.5","37.283333"
"623","Kerugoya","-0.5","37.283333"
"624","Kerugoya","-0.5","37.283333"
"625","Kerugoya","-0.5","37.283333"
"626","Kerugoya-Clean Shelf Supermarket","-0.5","37.283333"
"633","Kiamabara","-0.5185874","37.1131736"
"634","Kiamabara","-0.5185874","37.1131736"
"635","Kiamara","-0.1016667","37.8955556"
"636","Kiamara","-0.1016667","37.8955556"
"638","Kiamariga","-0.3833333","37.2333333"
"639","Kiamariga","-0.3833333","37.2333333"
"640","Kiamariga","-0.3833333","37.2333333"
"641","Kiamariga","-0.3833333","37.2333333"
"642","Kiamariga","-0.3833333","37.2333333"
"643","Kiamariga","-0.3833333","37.2333333"
"644","Kiamariga","-0.3833333","37.2333333"
"645","Kiamariga","-0.3833333","37.2333333"
"646","Kiambogo","-0.2372222","36.6891667"
"647","Kiambogo","-0.2372222","36.6891667"
"648","Kiambogo","-0.2372222","36.6891667"
"649","Kiambugi","-1.1748105","36.8304102"
"650","Kiamburwa","-1.1748105","36.8304102"
"651","Kiambuthia","-0.618838","36.9113696"
"652","Kiambuthia","-0.618838","36.9113696"
"653","Kiambuthia","-0.618838","36.9113696"
"654","Kiamwangi","-1.024218","36.8720216"
"655","Kiamwangi","-1.024218","36.8720216"
"656","Kiandege","-0.1895952","37.6915594"
"658","Kiandu","-0.4227975","36.9531415"
"659","Kiandu","-0.4227975","36.9531415"
"660","kiandutu","-1.0525771","37.0762539"
"661","kiandutu","-1.0525771","37.0762539"
"662","Kiangai","-0.476094","37.1750771"
"663","Kiangai","-0.476094","37.1750771"
"664","Kiangai","-0.476094","37.1750771"
"665","Kiangai","-0.476094","37.1750771"
"666","Kiangai","-0.476094","37.1750771"
"672","Kiaragana","-0.491718","37.2019386"
"674","Kiarutara","-0.8583284","36.8249595"
"677","Kiawambogo","-0.2372222","36.6891667"
"684","Kiawarigi","-0.4386334","37.1081686"
"685","Kiawarigi","-0.4386334","37.1081686"
"686","Kibingoti","-0.5716649","37.1889062"
"687","Kibingoti","-0.5716649","37.1889062"
"688","Kibingoti","-0.5716649","37.1889062"
"689","Kibingoti","-0.5716649","37.1889062"
"690","Kibingoti","-0.5716649","37.1889062"
"691","Kibirichia","0.0936509","37.5109757"
"692","Kibirichia","0.0936509","37.5109757"
"693","Kibirichia","0.0936509","37.5109757"
"694","Kibirichia","0.0936509","37.5109757"
"695","Kibirigwi","-0.5268899","37.1801181"
"696","Kibirigwi","-0.5268899","37.1801181"
"697","Kibirigwi","-0.5268899","37.1801181"
"698","Kibirigwi","-0.5268899","37.1801181"
"702","Kieni","-1.2794753","36.7904627"
"703","Kiganjo","-0.3934893","37.0024533"
"704","Kiganjo","-0.3934893","37.0024533"
"705","Kiganjo","-0.3934893","37.0024533"
"706","Kiganjo","-0.3934893","37.0024533"
"707","Kiganjo","-0.3934893","37.0024533"
"708","Kiganjo","-0.3934893","37.0024533"
"709","Kiganjo","-0.3934893","37.0024533"
"710","Kiganjo","-0.3934893","37.0024533"
"711","Kiganjo","-0.3934893","37.0024533"
"712","Kiganjo","-0.3934893","37.0024533"
"713","Kigetuini","-0.6609413","37.1541661"
"714","Kigogoini","-0.437928","36.9037123"
"715","Kigumo","-0.4173028","37.6373316"
"716","Kigumo","-0.4173028","37.6373316"
"717","Kigumo","-0.4173028","37.6373316"
"718","Kigumo","-0.4173028","37.6373316"
"719","Kihome","-0.5304689","36.8753528"
"720","Kihuri","-0.5585129","36.8576932"
"721","Kiirua","0.1085543","37.5607753"
"722","Kiirua","0.1085543","37.5607753"
"723","Kiirua","0.1085543","37.5607753"
"724","Kiirua","0.1085543","37.5607753"
"725","Kiirua","0.1085543","37.5607753"
"726","Kiirua","0.1085543","37.5607753"
"727","Kiirua","0.1085543","37.5607753"
"728","Kijabe","-0.945","36.595"
"729","Kijabe","-0.945","36.595"
"730","Kimahuri","-0.2814084","37.0991336"
"731","Kimahuri","-0.2814084","37.0991336"
"732","Kimahuri","-0.2814084","37.0991336"
"733","Kimahuri","-0.2814084","37.0991336"
"734","Kimahuri","-0.2814084","37.0991336"
"735","Kimandi","-1.0833333","35.3833333"
"736","Kimandi","-1.0833333","35.3833333"
"737","Kimangaru","-0.5458579","37.5271366"
"738","Kimanthi","-1.1107216","36.8492471"
"739","Kimathi Street","-1.2837861","36.8227509"
"740","Kimathi University","-0.3955843","36.962167"
"741","Kimathi University","-0.3955843","36.962167"
"742","Kimbimbi","-0.6204365","37.3653607"
"743","Kimbimbi","-0.6204365","37.3653607"
"744","Kimbimbi","-0.6204365","37.3653607"
"745","Kimbimbi","-0.6204365","37.3653607"
"746","Kimbimbi","-0.6204365","37.3653607"
"747","Kimbimbi","-0.6204365","37.3653607"
"749","Kimondo","-0.5503676","37.1027367"
"750","Kimorori","-0.9386346","37.1272391"
"751","Kimunye","-0.4341792","37.3092367"
"752","Kimunye","-0.4341792","37.3092367"
"753","Kimunye","-0.4341792","37.3092367"
