Bungoma,0.5695252,34.5583766
Bumala,0.3,34.2
Mumias,0.333333,34.483333
Adungosi,NO_RESULTS,NO_RESULTS
Bungoma,0.5695252,34.5583766
Bungoma,0.5695252,34.5583766
Bungoma,0.5695252,34.5583766
Bungoma,0.5695252,34.5583766
Bungoma,0.5695252,34.5583766
Butula,0.3416124,34.3352003
Busia,0.4607691,34.1114621
Busia,0.4607691,34.1114621
Busia,0.4607691,34.1114621
Chemelil,-0.08333299999999999,35.133333
Chemelil,-0.08333299999999999,35.133333
Ilingu,NO_RESULTS,NO_RESULTS
Kakamega,0.2827307,34.7518631
Kakamega,0.2827307,34.7518631
Kakamega,0.2827307,34.7518631
Kakamega,0.2827307,34.7518631
Kakamega,0.2827307,34.7518631
Kakamega,0.2827307,34.7518631
Kakamega,0.2827307,34.7518631
Kakamega,0.2827307,34.7518631
Khwisero,0.1799594,34.6346638
Khwisero,0.1799594,34.6346638
"Lugari, Panpaper",NO_RESULTS,NO_RESULTS
Malaba,0.6362059999999999,34.2782765
Malaba,0.6362059999999999,34.2782765
Malaba,0.6362059999999999,34.2782765
Malaba,0.6362059999999999,34.2782765
Malaba,0.6362059999999999,34.2782765
Malava,0.4450431,34.8541389
Matete,0.5628257,34.8060527
Sabatia,0.2326373,34.523962
Shamakhokho,0.1102302,34.8306809
Vihiga,0.0921041,34.7298765
Webuye,0.616667,34.766667
Webuye,0.616667,34.766667
Webuye,0.616667,34.766667
