Town ,Latitude,Longitude
 PORT VICTORIA,0.0960848,33.9781371
 POTOPOTO,-0.023437,35.1530907
Nairobi,-1.2920659,36.8219462
 RAGENGNI,-0.2805332,34.3612204
Mombasa,-4.0434771,39.6682065
Limuru,-3.8166667,37.8
 RAMASHA,-0.7224593,34.7578575
 RHAMU,3.9318811,41.2256158
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
 RODI,-0.6256742,34.5043672
 RODI ,-0.6256742,34.5043672
Nairobi,-1.2920659,36.8219462
 RONGAI,-0.166667,35.85
 RONGO,-0.7553244,34.5998996
 RORET,-0.3200534,35.5454439
 RUAI,-1.2532868,37.0078232
 RUAI,-1.2532868,37.0078232
 RUAI,-1.2532868,37.0078232
 RUAI,-1.2532868,37.0078232
Nairobi,-1.2920659,36.8219462
 RUAKA,-1.2207177,36.812661
 RUARAKA,-1.2456719,36.8815276
 RUIRU,-1.148889,36.956944
 RUIRU GATHONGORA,-1.1579944,36.9381514
 RUIRU KIMBO,-1.1332747,36.9745329
 RUIRU KIMBO,-1.1332747,36.9745329
 RUIRU PRISONS,-1.1514619,36.9292974
 RURINGU,-0.4410956,36.9604164
 RURINGU,-0.4410956,36.9604164
 RWATHIA,-0.6672461,36.9171819
 SABA SABA,-0.8763358,37.1446201
 SABA SABA,-0.8763358,37.1446201
 SAGANA ,-0.6695132,37.2061138
 SEGA,0.2496358,34.2282647
 SEREM,0.0777395,35.07233
 SEREM ,0.0777395,35.07233
 SHANZU,-3.966667,39.75
 SHANZU,-3.966667,39.75
 SHANZU,-3.966667,39.75
 SHAURI MOYO,-1.2898823,36.8479018
 SHIANDA,0.3193134,34.5708356
 SHIANDA,0.3193134,34.5708356
 SHIANDA,0.3193134,34.5708356
 SHIBALE,0.3548003,34.4843379
 SHIMBA HILLS,-4.2572222,39.3877778
 SHINYALU ,-1.2577937,36.7538909
 SIAKAGO,-0.5776702,37.6404775
 SIGOMRE,0.2017705,34.3546293
 SIGOR,1.4959744,35.4727149
 SIGOR,1.4959744,35.4727149
 SIKHENDU,0.8343561,34.8638624
 SILIBWET,-0.7303033,35.3478133
 SINDO,-0.5417807,34.1657107
 SIPILI,0.4333333,36.3833333
Nairobi,-1.2920659,36.8219462
Soko Mjinga,-4.0752088,39.638537
 SOLOLO,3.541985,38.658291
 SOLOLO,3.541985,38.658291
 SONDU,-0.3900075,35.0140324
Awendo,-0.9017152,34.5334534
 SORI,-0.4577084,34.8773318
 SORI-KARUNGU,-0.8444461,34.1555381
 SOSOIT,-0.3627385,35.1715614
 SOTIK,-0.6906735,35.1110613
 SOTIK,-0.6906735,35.1110613
Nairobi,-1.2920659,36.8219462
Soy,0.6776219,35.14397
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
 SUGUTA MARMAR,0.826081,36.6897976
 SUNEKA,-0.6787595,34.70769
 SYOKIMAU,-1.3592272,36.9379845
 TABAKA,-0.7547705,34.6607641
Nairobi,-1.2920659,36.8219462
 TAKABA,3.3855556,40.2230556
Mama Ngina,-4.0756964,39.6741713
Tawa,-1.5481408,37.4668058
Busia,0.4607691,34.1114621
 THIGIO,-1.1957855,36.6122764
 THIGUKU ,-0.5584163,37.2336893
 THIKA,-1.0387569,37.0833753
 THIKA,-1.0387569,37.0833753
 THIKA,-1.0387569,37.0833753
 THIKA,-1.0387569,37.0833753
 THIKA,-1.0387569,37.0833753
 TINDINYO,0.1836666,34.9463618
 TIRIBE,-4.3300111,39.2489362
 TOLL RUIRU,-1.1253833,36.981895
 TSEKURU,-0.3305556,38.1927778
 TSEKURU,-0.3305556,38.1927778
 TULATULA,0.530247,38.518381
 TUNYAI,-0.1569525,37.8167329
 TURASHA,-0.50601,36.40333
 TURASHA,-0.50601,36.40333
 TURI,-0.2784766,35.7592535
 UGUNJA,0.1811028,34.2966264
 UGUNJA,0.1811028,34.2966264
 UGUNJA ,0.1811028,34.2966264
 UKIA,-1.76351,37.4994278
 UKWALA ,0.193533,34.188733
 UMOJA,-1.2743571,36.9057288
 UMOJA,-1.2743571,36.9057288
 UMOJA,-1.2743571,36.9057288
 UMOJA,-1.2743571,36.9057288
 UMOJA,-1.2743571,36.9057288
 UMOJA,-1.2743571,36.9057288
 UMOJA,-1.2743571,36.9057288
 UTALII ARCADE,-0.2850157,36.0707733
 UTAWALA,-1.2860228,36.9741965
 UTAWALA,-1.2860228,36.9741965
 UTHIRU,-1.2718874,36.7038098
 UTHIRU,-1.2718874,36.7038098
 UTHIRU,-1.2718874,36.7038098
 UTHIRU,-1.2718874,36.7038098
 UTHIRU,-1.2718874,36.7038098
 VOI ,-3.3973104,38.5559336
 WAITA ,-0.7785774,38.0922323
 WAJIR ,1.7488388,40.058633
 WAJIR ,1.7488388,40.058633
 WAJIR ,1.7488388,40.058633
 WAKIMBO,-2.3319444,40.7758333
 WAMBA,0.983333,37.316667
 WAMBA,0.983333,37.316667
 WAMBA,0.983333,37.316667
 WAMUNYU,-1.413408,37.6240242
 WANGIGE,-1.2202532,36.7132449
 WANGURU,-0.6838817,37.3586816
 WANGURU,-0.6838817,37.3586816
 WARGADUD,2.2362763,40.193224
 WEBUYE,0.616667,34.766667
 WITEITHIE,-1.035094,37.0749575
 WITEITHIE,-1.035094,37.0749575
 WITU,-2.388281,40.4376262
 WOODLY,-1.3079765,36.7550147
 WUNDANYI,-3.401944,38.363889
 WUNDANYI ,-3.401944,38.363889
 WUOROYA ,0.1501874,34.2784193
Kikuyu,-1.2543366,36.681661
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
 ZIWANI ,-3.379939,37.788639
Nairobi,-1.2920659,36.8219462
ABAKORE,0.6288978,39.7111401
Nairobi,-1.2920659,36.8219462
AKALA,-0.066667,34.433333
ARABIA,-1.2616473,36.8387019
ATHI RIVER,-1.4577245,36.9785033
ATHI RIVER,-1.4577245,36.9785033
Nairobi,-1.2920659,36.8219462
CHEBOLE,-0.7467126,35.2151687
CHEPILAT,-8.1642126,-34.9388164
Dandora,-1.25,36.9
Dandora,-1.25,36.9
ELDAS,2.4853919,39.5672312
ELDAS,2.4853919,39.5672312
ELWAK,2.7946248,40.9341466
ENDARASHA,-0.3067091,36.793642
ENDARASHA,-0.3067091,36.793642
ENODSAEN,-1.0203817,34.7334212
GANZE,-3.5438653,39.6924877
HIGHRISE,0.5271351,35.3076777
IHURURU,-0.4110585,36.8922847
IKUTHA ,-2.07,38.18
ISIOLO,0.355636,37.5833061
ISIOLO,0.355636,37.5833061
ISONGO ,-4.3166667,38.1666667
KADZENGO,-0.4477504,34.8913824
KAGIO,-0.62515,37.2530686
KAPTEMBWA,-0.2917156,36.0295261
KAREN,-1.3117524,36.6985978
KARIOBANGI,-1.240591,36.88044
KARIOKOR,-1.2793262,36.8336713
KATILU,2.2042495,35.4831198
Nairobi,-1.2920659,36.8219462
KIANDU,-0.4227975,36.9531415
KIBAONI,-3.7911174,39.823182
KIBAONI,-3.7911174,39.823182
KIHUMBUINI,-0.9280413,36.9877857
KINAMBA,0.4131607,36.3213639
KIRIAINI,-0.6847759,36.9557077
KISUMU,-0.0917016,34.7679568
KITENGELA,-1.4752891,36.9620104
KITENGELA,-1.4752891,36.9620104
KITENGELA,-1.4752891,36.9620104
KITENGELA,-1.4752891,36.9620104
KOILOT,0.1709078,35.2861003
Nairobi,-1.2920659,36.8219462
KOMA,-1.3333333,33.9666667
Nairobi,-1.2920659,36.8219462
LANGATA,-1.366667,36.733333
Kibera,-1.316667,36.783333
Kibera,-1.316667,36.783333
Langata,-1.366667,36.733333
LODWAR,3.116667,35.6
LOKICHAR,2.38,35.65
LUANDA,0.0240007,34.5874448
MAGOMBO,-0.8415141,35.030728
MAGUTUNI,-0.21755,37.733631
MAIKONA,2.936094,37.6306782
MALABA,0.636206,34.2782765
MANDERA,3.9356389,41.8551162
MASIMBA,-0.8609818,34.9382584
MATUU,-1.1407002,37.5481236
MFANGANO,-0.4593692,34.0084395
MFANGANO,-0.4593692,34.0084395
MITUNGUU,-0.1089044,37.7848732
MLOLONGO,-1.3922344,36.9406718
MOGOGOSIEK,-0.6168962,35.2735269
MSHOMORONI,-4.0197951,39.6780369
MTWAPA,-3.95,39.744444
MUGUNDA,-0.1392466,36.7132538
MUGUNDOI,0.1258438,35.1214296
MUMIAS ,0.333333,34.483333
MWAKTAU,-3.397004,38.132191
NAMANGA,-2.5520935,36.7838976
NAMANGA,-2.5520935,36.7838976
NDENDERU,-1.1936187,36.7415432
NOONKOPIR,-1.4711253,36.9474287
NORTH HORR,3.32,37.07
Nairobi,-1.2920659,36.8219462
Nyeri,-0.416667,36.95
Nyeri,-0.416667,36.95
Nyeri,-0.416667,36.95
Nyeri,-0.416667,36.95
Nyeri,-0.416667,36.95
Nyeri,-0.416667,36.95
RONGAI,-0.166667,35.85
SANGALO,0.5087786,34.5943644
SIWAKA PLAZA,-1.3091696,36.8117058
TABAKA,-0.7547705,34.6607641
TAKABA,3.3855556,40.2230556
TAKABA,3.3855556,40.2230556
TEZO,-3.5363373,39.8793465
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
UMURUA DIKIRR,-1.0171633,35.1033238
Nairobi,-1.2920659,36.8219462
UTHIRU,-1.2718874,36.7038098
WAMBA TOWN,0.983333,37.316667
WANGIGE,-1.2202532,36.7132449
WESTLANDS,-1.2682643,36.8111214
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
ZOMBE,-1.4524714,38.234841
