WARD,FAC_NUM,ELEC_NUM,SCHOOLS,TRADE,HEALTH,E_SCHOOLS,E_TRADE,E_HEALTH,Male,Female,total_pop,fac_1000,elec_fac_1000,schools_1000,trade_1000,health_1000,e_schools_1000,e_trade_1000,e_health_1000
BASUBA,5,0,0,0,5,0,0,0,23,1132,1155,4.329004329,0,0,0,4.329004329,0,0,0
BATEI,26,0,5,18,3,0,0,0,1129,571,1700,15.29411765,0,2.941176471,10.58823529,1.764705882,0,0,0
BENANE,17,0,4,11,2,0,0,0,812,403,1215,13.99176955,0,3.29218107,9.053497942,1.646090535,0,0,0
BIASHARA,11,11,6,3,2,6,3,2,254,1334,1588,6.926952141,6.926952141,3.778337531,1.889168766,1.259445844,3.778337531,1.889168766,1.259445844
BIBIRIONI,13,9,5,7,1,3,5,1,612,56,668,19.46107784,13.47305389,7.48502994,10.47904192,1.497005988,4.491017964,7.48502994,1.497005988
BOKOLI,34,14,9,21,4,4,6,4,1223,662,1885,18.03713528,7.427055703,4.774535809,11.14058355,2.122015915,2.122015915,3.183023873,2.122015915
BOMANI,5,4,0,5,0,0,4,0,42,1137,1179,4.240882103,3.392705683,0,4.240882103,0,0,3.392705683,0
BUKEMBE EAST,15,14,6,7,2,6,6,2,843,313,1156,12.97577855,12.11072664,5.190311419,6.055363322,1.730103806,5.190311419,5.190311419,1.730103806
BUKEMBE WEST,18,11,4,13,1,3,7,1,548,1624,2172,8.287292818,5.064456722,1.841620626,5.985267035,0.460405157,1.38121547,3.222836096,0.460405157
BUKHAYO CENTRAL,13,5,3,7,3,1,2,2,396,1437,1833,7.092198582,2.727768685,1.636661211,3.818876159,1.636661211,0.545553737,1.091107474,1.091107474
BUKHAYO EAST,20,13,5,10,5,4,5,4,644,52,696,28.73563218,18.67816092,7.183908046,14.36781609,7.183908046,5.747126437,7.183908046,5.747126437
BUKHAYO NORTH/WALATSI,19,12,4,12,3,4,5,3,689,106,795,23.89937107,15.09433962,5.031446541,15.09433962,3.773584906,5.031446541,6.289308176,3.773584906
BUKHAYO WEST,11,4,3,5,3,3,1,0,1233,639,1872,5.876068376,2.136752137,1.602564103,2.670940171,1.602564103,1.602564103,0.534188034,0
BUMULA,27,27,10,15,2,10,15,2,1195,596,1791,15.07537688,15.07537688,5.58347292,8.37520938,1.116694584,5.58347292,8.37520938,1.116694584
BUNYALA CENTRAL,33,25,10,17,6,8,12,5,1069,480,1549,21.30406714,16.1394448,6.455777921,10.97482247,3.873466753,5.164622337,7.746933505,3.227888961
BUNYALA EAST,13,5,5,5,3,4,0,1,672,98,770,16.88311688,6.493506494,6.493506494,6.493506494,3.896103896,5.194805195,0,1.298701299
BUNYALA NORTH,15,10,3,9,3,3,6,1,590,1623,2213,6.778129236,4.518752824,1.355625847,4.066877542,1.355625847,1.355625847,2.711251695,0.451875282
BUNYALA SOUTH,11,9,2,4,5,2,4,3,189,1249,1438,7.649513213,6.258692629,1.390820584,2.781641168,3.47705146,1.390820584,2.781641168,2.086230876
BUNYALA WEST,11,4,2,7,2,2,2,0,1401,798,2199,5.002273761,1.81900864,0.90950432,3.183265121,0.90950432,0.90950432,0.90950432,0
BURA,101,57,23,61,17,15,27,15,306,1387,1693,59.65741288,33.66804489,13.58535145,36.03071471,10.04134672,8.860011813,15.94802126,8.860011813
BURAT,6,0,0,6,0,0,0,0,383,1456,1839,3.262642741,0,0,3.262642741,0,0,0,0
BURDER,4,0,0,2,2,0,0,0,27,1154,1181,3.386960203,0,0,1.693480102,1.693480102,0,0,0
BURUMBA,4,0,0,1,3,0,0,0,823,244,1067,3.748828491,0,0,0.937207123,2.811621368,0,0,0
BUSIBWABO,11,8,4,5,2,4,2,2,55,1119,1174,9.36967632,6.814310051,3.407155026,4.258943782,1.703577513,3.407155026,1.703577513,1.703577513
BUTALI/CHEGULO,145,130,55,59,31,54,46,30,1186,607,1793,80.8700502,72.50418293,30.67484663,32.90574456,17.28945901,30.11712214,25.65532627,16.73173452
BUTE,6,0,2,1,3,0,0,0,949,560,1509,3.976143141,0,1.325381047,0.662690524,1.988071571,0,0,0
BUTSOTSO EAST,9,7,1,5,3,1,4,2,724,162,886,10.15801354,7.900677201,1.128668172,5.643340858,3.386004515,1.128668172,4.514672686,2.257336343
BWIRI,15,10,4,8,3,4,3,3,504,1550,2054,7.302823759,4.868549172,1.947419669,3.894839338,1.460564752,1.947419669,1.460564752,1.460564752
CALIFORNIA,2,2,0,0,2,0,0,2,648,138,786,2.544529262,2.544529262,0,0,2.544529262,0,0,2.544529262
CENTRAL,132,123,48,48,36,44,43,36,1088,518,1606,82.19178082,76.58779577,29.8879203,29.8879203,22.41594022,27.39726027,26.77459527,22.41594022
CENTRAL BUNYORE,21,21,7,7,7,7,7,7,990,334,1324,15.86102719,15.86102719,5.287009063,5.287009063,5.287009063,5.287009063,5.287009063,5.287009063
CENTRAL KASIPUL,21,0,14,5,2,0,0,0,894,285,1179,17.81170483,0,11.87446989,4.240882103,1.696352841,0,0,0
CENTRAL KISUMU,7,7,1,5,1,1,5,1,1327,778,2105,3.325415677,3.325415677,0.475059382,2.375296912,0.475059382,0.475059382,2.375296912,0.475059382
CENTRAL NYAKACH,19,19,5,9,5,5,9,5,959,338,1297,14.64919044,14.64919044,3.855050116,6.939090208,3.855050116,3.855050116,6.939090208,3.855050116
CENTRAL SAKWA,28,21,6,14,8,5,10,6,988,422,1410,19.85815603,14.89361702,4.255319149,9.929078014,5.673758865,3.546099291,7.092198582,4.255319149
CENTRAL SEME,13,10,4,5,4,2,4,4,720,90,810,16.04938272,12.34567901,4.938271605,6.172839506,4.938271605,2.469135802,4.938271605,4.938271605
CHAKOL NORTH,13,6,3,8,2,2,4,0,428,1470,1898,6.849315068,3.161222339,1.58061117,4.214963119,1.05374078,1.05374078,2.10748156,0
CHAKOL SOUTH,24,17,8,13,3,8,6,3,1170,585,1755,13.67521368,9.686609687,4.558404558,7.407407407,1.709401709,4.558404558,3.418803419,1.709401709
CHALA,23,14,3,17,3,3,8,3,388,1545,1933,11.89860321,7.242628039,1.551991723,8.794619762,1.551991723,1.551991723,4.138644594,1.551991723
CHANIA,111,104,46,50,15,43,47,14,930,331,1261,88.02537669,82.4742268,36.47898493,39.65107058,11.89532117,34.0999207,37.27200634,11.10229976
CHARAGITA,28,8,6,18,4,4,2,2,654,107,761,36.79369251,10.51248357,7.884362681,23.65308804,5.256241787,5.256241787,2.628120894,2.628120894
CHASIMBA,16,11,8,6,2,4,5,2,1078,455,1533,10.43705153,7.175472929,5.218525766,3.913894325,1.304631442,2.609262883,3.261578604,1.304631442
CHAWIA,36,21,6,27,3,6,12,3,173,1270,1443,24.94802495,14.55301455,4.158004158,18.71101871,2.079002079,4.158004158,8.316008316,2.079002079
CHEBOIN,9,2,0,7,2,0,1,1,701,152,853,10.55099648,2.344665885,0,8.206330598,2.344665885,0,1.172332943,1.172332943
CHEKALINI,32,12,6,19,7,5,3,4,501,1559,2060,15.53398058,5.825242718,2.912621359,9.223300971,3.398058252,2.427184466,1.45631068,1.941747573
CHEMELIL,15,8,3,9,3,2,3,3,1238,727,1965,7.633587786,4.071246819,1.526717557,4.580152672,1.526717557,1.017811705,1.526717557,1.526717557
CHEMELIL/CHEMASE,20,8,3,11,6,1,4,3,202,1307,1509,13.25381047,5.301524188,1.988071571,7.289595759,3.976143141,0.662690524,2.650762094,1.988071571
CHEMUCHE,21,17,5,13,3,5,10,2,1086,500,1586,13.2408575,10.71878941,3.15258512,8.196721311,1.891551072,3.15258512,6.30517024,1.261034048
CHEMUNDU/KAPNG'ETUNY,22,20,6,11,5,6,9,5,798,259,1057,20.81362346,18.92147588,5.676442763,10.40681173,4.730368969,5.676442763,8.514664144,4.730368969
CHENGONI/SAMBURU,29,0,3,19,7,0,0,0,1229,573,1802,16.09322974,0,1.66481687,10.54384018,3.884572697,0,0,0
CHEPARERIA,25,9,12,8,5,6,2,1,1446,871,2317,10.78981442,3.884333189,5.179110919,3.452740613,2.157962883,2.58955546,0.863185153,0.431592577
CHEPKORIO,43,39,11,26,6,11,22,6,723,193,916,46.94323144,42.57641921,12.00873362,28.38427948,6.550218341,12.00873362,24.01746725,6.550218341
CHEPKUMIA,21,8,4,14,3,2,4,2,628,61,689,30.47895501,11.61103048,5.805515239,20.31930334,4.35413643,2.90275762,5.805515239,2.90275762
CHEPKUNYUK,33,19,6,21,6,5,9,5,1370,836,2206,14.95920218,8.61287398,2.719854941,9.519492294,2.719854941,2.266545784,4.079782412,2.266545784
CHEPTAIS,8,0,0,4,4,0,0,0,1051,487,1538,5.201560468,0,0,2.600780234,2.600780234,0,0,0
CHEPYUK,29,5,7,13,9,3,1,1,852,368,1220,23.7704918,4.098360656,5.737704918,10.6557377,7.37704918,2.459016393,0.819672131,0.819672131
CHERANGANY/SUWERWA,16,0,7,7,2,0,0,0,1362,791,2153,7.431490943,0,3.251277288,3.251277288,0.928936368,0,0,0
