390,ABAKAILE,0,ABAKAILE
376,ABOGETA EAST,0,ABOGETA EAST
377,ABOGETA WEST,0,ABOGETA WEST
370,ABOTHUGUCHI CENTRAL,0,ABOTHUGUCHI CENTRAL
373,ABOTHUGUCHI WEST,0,ABOTHUGUCHI WEST
433,ADEMASAJIDA,0,ADEMASAJIDA
167,ADU,0,ADU
871,AGENGA/NANGUBA,0,AGENGA/NANGUBA
146,AGUTHI GAAKI,0,AGUTHI GAAKI
520,AHERO,0,AHERO
659,AIRBASES,1,AIRBASE
814,ALALE,0,ALALE
892,AMAKURA CENTRAL,1,AMUKURA CENTRAL
891,AMUKURA EAST,0,AMUKURA EAST
889,AMUKURA WEST,0,AMUKURA WEST
741,ANGATA BARRIKOI,1,
765,ANGATA NANYUKIE,1,
890,ANGOROM,1,ANG'OROM
883,ANGURAI EAST,1,ANG'URAI EAST
886,ANGURAI NORTH,1,ANG'URAI NORTH
885,ANGURAI SOUTH,1,ANG'URAI SOUTH
444,ARABIA,0,ANGATA BARIKOI
432,ARBAJAHAN,0,ANGATA NANYOKIE
597,ARROR,0,ARABIA
440,ASHABITO,0,ARBAJAHAN
318,ATHI RIVER,0,ARROR
521,AWASI/ONJIKO,0,ASHABITO
763,BAAWA,0,ATHI RIVER
690,BABADOGO,1,AWASI/ONJIKO
210,BAHARI,0,BAAWA
383,BALAMBALA,0,BABA DOGO
160,BAMBA,0,BAHARI
430,BANANEY,1,BALAMBALA
235,BANGALE,1,BAMBA
66,BARAGWI,1,BANGALE
405,BARAKI,1,BARAGWI
549,BARTABWA,1,BARAKI
415,BARWAQO,1,BARTABWA
545,BARWESSA,1,BARWESSA
205,BASUBA,1,BASUBA
820,BATEI,1,BATEI
406,BENANE,1,BENANE
47,BIASHARA,1,BIASHARA
42,BIBIRIONI,1,BIBIRIONI
857,BOKOILI,1,BOKOLI
214,BOMENI,1,BOMANI
833,BUKEMBE EAST,1,BUKEMBE EAST
837,BUKEMBE WEST,1,BUKEMBE WEST
882,BUKHAYO CENTRAL,1,BUKHAYO CENTRAL
881,BUKHAYO EAST,1,BUKHAYO EAST
879,BUKHAYO NORTH/WALATSI,1,BUKHAYO NORTH/WALATSI
877,BUKHAYO WEST,1,BUKHAYO WEST
874,BUKUMBA,1,BULLA PESA
266,BULABESA,1,BUMULA
831,BUMULA,1,BUNA
418,BUNA,1,BUNYALA CENTRAL
862,BUNYALA CENTRAL,1,BUNYALA EAST
934,BUNYALA EAST,1,BUNYALA NORTH
863,BUNYALA NORTH,1,BUNYALA SOUTH
861,BUNYALA SOUTH,1,BUNYALA WEST
864,BUNYALA WEST,1,BURA
219,BURA,1,BURAT
267,BURAT,1,BURDER
426,BURDERE,1,BURUMBA
878,BURUMBA,1,BUSIBWABO
875,BUSIBWABO,1,BUTALI/CHEGULO
920,BUTALI /CHEGULO,1,BUTE
420,BUTE,1,BUTSOTSO CENTRAL
914,BUTSOTSO CENTRAL,1,BUTSOTSO EAST
913,BUTSOTSO EAST,1,BUTSOTSO SOUTH
915,BUTSOTSO SOUTH,1,BWIRI
872,BWIRI,1,CALIFORNIA
663,CALIFONIA,1,CENTRAL
119,CENTRAL,1,CENTRAL BUNYORE
937,CENTRAL BUNYORE,1,CENTRAL KASIPUL
471,CENTRAL KASIPUL,1,CENTRAL KISUMU
504,CENTRAL KISUMU,1,CENTRAL NYAKACH
518,CENTRAL NYAKACH,1,CENTRAL RACHUONYO
457,CENTRAL RACHUONYO,1,CENTRAL SAKWA
528,CENTRAL SAKWA,1,CENTRAL SEME
497,CENTRAL SEME,1,CHAKOL NORTH
894,CHAKOL NORTH,1,CHAKOL SOUTH
893,CHAKOL SOUTH,1,CHALA
215,CHALLA,1,CHANIA
3,CHANIA,1,CHARAGITA
123,CHARAGITA,1,CHASIMBA
158,CHASIMBA,1,CHAWIA
220,CHAWIA,1,CHEBOIN
627,CHEBOIN,1,CHEBUNYO
579,CHEBUNYO,1,CHEKALINI
905,CHEKALINI,1,CHEMAGEL
581,CHEMAGEL,1,CHEMELIL
512,CHEMELIL,1,CHEMELIL/CHEMASE
734,CHEMELIL/CHEMASE,1,CHEMUCHE
919,CHEMUCHE,1,CHEMUNDU/KAPNG'ETUNY
713,CHEMUNDU/KAPNG'ETUNYI,1,CHENGONI/SAMBURU
185,CHENGOVI /SAMBURU,1,CHEPARERIA
818,CHEPARERIA,1,CHEPKORIO
586,CHEPKORIO,1,CHEPKUMIA
715,CHEPKUMIA,1,CHEPKUNYUK
730,CHEPKUNYUK,1,CHEPTAIS
846,CHEPTAIS,1,CHEPTERWAI
723,CHEPTERWAI,1,CHEPYUK
845,CHEPYUK,1,CHERANGANY/SUWERWA
601,CHERANGANY,1,CHESIKAKI
775,CHERANGANY/SUWERWA,1,CHESOEN
844,CHESIKAKI,1,CHEVAYWA
570,CHESOEN,1,CHEWANI
907,CHEVAYWA,1,CHEWELE
237,CHEWANI,1,CHULUNI
232,CHEWELE,1,CHURO/AMAYA
276,CHULUNI,1,CIANDA
563,CHURO/AMAYA,1,DABASO
23,CIANDA,1,DADAAB
148,DABASO,1,DADAJA BULLA
388,DADAAB,1,DALALEKUTUK
425,DADAJABULLA,1,DAMAJALE
602,DALALEKUTUK,1,DANABA
392,DAMAJALEY,1,DANDORA AREA I
424,DANABA,1,DANDORA AREA II
649,DANDORA AREA I,1,DANDORA AREA III
650,DANDORA AREA II,1,DANDORA AREA IV
651,DANDORA AREA III,1,DANYERE
648,DANDORA AREA IV,1,DEDAN KIMANTHI
382,DANYERERE,1,DEKAHARIA
395,DEKAHARJA,1,DELLA
410,DELA,1,DERTU
387,DERTU,1,DIIF
147,DIDAN KIMATHI,1,DZOMBO
427,DIIF,1,EAST GEM
190,DZOMBO,1,EAST KABRAS
485,EAST GEM,1,EAST KAMAGAK
