"","WARD","FAC_NUM","ELEC_NUM","SCHOOLS","TRADE","HEALTH","E_SCHOOLS","E_TRADE","E_HEALTH","Male","Female","total_pop","fac_1000","elec_fac_1000","schools_1000","trade_1000","health_1000","e_schools_1000","e_trade_1000","e_health_1000","crop_diversity","crop_intensity","gov_irrigation","prop_irrigation","small_irrigation","distance_major_roads","distance_second_roads","distance_major_town","water_points","num_equity","distance_rivers","num_offgrid","ward_area","dist_trans","pop_density"
"709","RUSINGA ISLAND",21,17,8,10,3,6,9,2,802,234,1036,20.27027027,16.40926641,7.722007722,9.652509653,2.895752896,5.791505792,8.687258687,1.930501931,2,50,0,0,8,62.977752751,62.977752751,36854.34979813,0,0,39.2349999173,0,214,37,4.8411214953271
"710","RWARE",1,1,1,0,0,1,0,0,629,58,687,1.455604076,1.455604076,1.455604076,0,0,1.455604076,0,0,1.55666667,76.66666667,0,0,0,0.384331753416,0.384331753416,647.81473508,0,8,0.250414683018,0,10,0,68.7
"711","RWATHIA",22,22,7,10,5,7,10,5,467,1506,1973,11.15053218,11.15053218,3.547896604,5.06842372,2.53421186,3.547896604,5.06842372,2.53421186,2.22,53,0,0,0,28.3666676264,28.3666676264,29295.05471754,0,0,4.64124932908,0,125,23,15.784
"712","SABAKI",15,4,3,10,2,1,3,0,244,1347,1591,9.428032684,2.514142049,1.885606537,6.285355123,1.257071025,0.628535512,1.885606537,0,0,50,0,0,2,0.43773059053,0.43773059053,5712.97283219,0,0,2.27161975635,0,33,5,48.2121212121212
"713","SABENA",2,0,0,1,1,0,0,0,507,153,660,3.03030303,0,0,1.515151515,1.515151515,0,0,0,0,0,0,0,0,22.66785014,22.66785014,125404.20061704,0,0,7.96336175756,0,840,203,0.785714285714286
"714","SACHO",15,13,4,6,5,4,6,3,209,1283,1492,10.0536193,8.713136729,2.680965147,4.021447721,3.351206434,2.680965147,4.021447721,2.010723861,0,27.14285714,0,0,0,21.2940701248,21.2940701248,37816.20885693,0,0,8.56746798489,0,95,23,15.7052631578947
"715","SAGAMIAN",14,0,2,10,2,0,0,0,593,69,662,21.14803625,0,3.021148036,15.10574018,3.021148036,0,0,0,0.75,68.75,0,0,0,27.1933556121,27.1933556121,18569.89666871,0,0,5.76321886836,0,263,38,2.5171102661597
"716","SAIMO/KIPSARAMAN",15,8,3,8,4,3,3,2,592,18,610,24.59016393,13.1147541,4.918032787,13.1147541,6.557377049,4.918032787,4.918032787,3.278688525,0,22.5,0,0,0,36.5249165858,36.5249165858,62092.96858809,0,0,19.504015422,0,91,23,6.7032967032967
"717","SAIMO/SOI",32,7,3,22,7,1,6,0,363,1443,1806,17.71871539,3.875968992,1.661129568,12.18161683,3.875968992,0.553709856,3.322259136,0,0,22.5,0,0,0,34.5036535686,34.5036535686,73872.66818354,0,0,31.5197481111,0,461,33,3.9175704989154
"718","SAKA",6,4,1,1,4,0,0,4,1655,1118,2773,2.163721601,1.442481067,0.360620267,0.360620267,1.442481067,0,0,1.442481067,0,0,0,0,0,60.8574738305,60.8574738305,66578.41580485,0,0,15.1061738812,0,552,144,5.02355072463768
