"","WARD","FAC_NUM","ELEC_NUM","SCHOOLS","TRADE","HEALTH","E_SCHOOLS","E_TRADE","E_HEALTH","Male","Female","total_pop","fac_1000","elec_fac_1000","schools_1000","trade_1000","health_1000","e_schools_1000","e_trade_1000","e_health_1000","crop_diversity","crop_intensity","gov_irrigation","prop_irrigation","small_irrigation","distance_major_roads","distance_second_roads","distance_major_town","water_points","num_equity","distance_rivers","num_offgrid","ward_area","dist_trans","pop_density"
"87","CHASIMBA",16,11,8,6,2,4,5,2,1078,455,1533,10.43705153,7.175472929,5.218525766,3.913894325,1.304631442,2.609262883,3.261578604,1.304631442,0,51,0,0,1,9.86995762763,9.86995762763,16881.0249494,0,0,62.1274483901,0,131,5,11.7022900763359
"88","CHAWIA",36,21,6,27,3,6,12,3,173,1270,1443,24.94802495,14.55301455,4.158004158,18.71101871,2.079002079,4.158004158,8.316008316,2.079002079,0,34,0,0,0,38.3694870513,38.3694870513,55647.15973853,35,1,86.9079822104,0,1494,57,0.965863453815261
"89","CHEBOIN",9,2,0,7,2,0,1,1,701,152,853,10.55099648,2.344665885,0,8.206330598,2.344665885,0,1.172332943,1.172332943,2.0425,68.75,0,0,0,15.8951879427,15.8951879427,11684.21240028,0,1,16.3561451399,0,45,7,18.9555555555556
"90","CHEKALINI",32,12,6,19,7,5,3,4,501,1559,2060,15.53398058,5.825242718,2.912621359,9.223300971,3.398058252,2.427184466,1.45631068,1.941747573,2.85333333,65,0,0,3,3.08164429526,3.08164429526,38212.86929067,1,0,1.52859713329,0,42,6,49.0476190476191
"91","CHEMELIL",15,8,3,9,3,2,3,3,1238,727,1965,7.633587786,4.071246819,1.526717557,4.580152672,1.526717557,1.017811705,1.526717557,1.526717557,1.16416667,77,1,0,0,13.3375041952,13.3375041952,36247.23423952,0,0,3.34629229359,2,169,8,11.6272189349112
"92","CHEMELIL/CHEMASE",20,8,3,11,6,1,4,3,202,1307,1509,13.25381047,5.301524188,1.988071571,7.289595759,3.976143141,0.662690524,2.650762094,1.988071571,1.595,66.66666667,0,0,0,16.757899749,16.757899749,37780.60483373,0,1,4.84427707567,0,117,1,12.8974358974359
"93","CHEMUCHE",21,17,5,13,3,5,10,2,1086,500,1586,13.2408575,10.71878941,3.15258512,8.196721311,1.891551072,3.15258512,6.30517024,1.261034048,3.25,60.71428571,0,0,1,3.4691989943,3.4691989943,23335.23012032,0,0,7.20122486796,1,64,15,24.78125
"94","CHEMUNDU/KAPNG'ETUNY",22,20,6,11,5,6,9,5,798,259,1057,20.81362346,18.92147588,5.676442763,10.40681173,4.730368969,5.676442763,8.514664144,4.730368969,2.715,70,0,0,0,28.7931551967,28.7931551967,35244.65171007,0,1,2.32410605507,0,47,16,22.4893617021277
"95","CHENGONI/SAMBURU",29,0,3,19,7,0,0,0,1229,573,1802,16.09322974,0,1.66481687,10.54384018,3.884572697,0,0,0,0,35.55555556,0,0,0,2.82215444119,2.82215444119,48445.2256769,9,0,75.6050603199,0,624,4,2.88782051282051
"96","CHEPARERIA",25,9,12,8,5,6,2,1,1446,871,2317,10.78981442,3.884333189,5.179110919,3.452740613,2.157962883,2.58955546,0.863185153,0.431592577,0,25.55555556,0,0,0,6.27464920536,6.27464920536,22849.03490331,0,1,20.4769440487,0,471,40,4.91932059447983
"97","CHEPKORIO",43,39,11,26,6,11,22,6,723,193,916,46.94323144,42.57641921,12.00873362,28.38427948,6.550218341,12.00873362,24.01746725,6.550218341,1.23333333,64.54545455,0,0,0,18.1622333937,18.1622333937,32080.85722197,0,0,14.0714529239,1,97,5,9.44329896907217
"98","CHEPKUMIA",21,8,4,14,3,2,4,2,628,61,689,30.47895501,11.61103048,5.805515239,20.31930334,4.35413643,2.90275762,5.805515239,2.90275762,3.435,70,0,0,0,25.0919229442,25.0919229442,27330.46880599,0,3,3.43999129797,0,84,20,8.20238095238095
"99","CHEPKUNYUK",33,19,6,21,6,5,9,5,1370,836,2206,14.95920218,8.61287398,2.719854941,9.519492294,2.719854941,2.266545784,4.079782412,2.266545784,1.51153846,75.71428571,0,0,0,22.5669141709,22.5669141709,41924.06966805,0,0,3.13010826072,0,114,3,19.3508771929825
"100","CHEPTAIS",8,0,0,4,4,0,0,0,1051,487,1538,5.201560468,0,0,2.600780234,2.600780234,0,0,0,4.15,33.75,0,0,0,34.8037830527,34.8037830527,39668.06414544,0,1,26.7357288621,0,101,29,15.2277227722772
"101","CHEPYUK",29,5,7,13,9,3,1,1,852,368,1220,23.7704918,4.098360656,5.737704918,10.6557377,7.37704918,2.459016393,0.819672131,0.819672131,1.688,56.66666667,0,0,0,35.3982222686,35.3982222686,41339.42386258,0,0,18.5896365335,0,223,33,5.47085201793722
"102","CHERANGANY/SUWERWA",16,0,7,7,2,0,0,0,1362,791,2153,7.431490943,0,3.251277288,3.251277288,0.928936368,0,0,0,1.85857143,64.73684211,0,0,2,18.5653911056,18.5653911056,24304.7572631,0,1,10.4617824936,2,132,49,16.3106060606061
"103","CHESIKAKI",23,13,5,14,4,3,7,3,779,224,1003,22.93120638,12.96111665,4.985044865,13.95812562,3.988035892,2.991026919,6.979062812,2.991026919,3.575,50,0,0,2,35.9455516482,35.9455516482,38360.41583303,0,0,24.5646835066,0,127,29,7.89763779527559
"104","CHEVAYWA",157,157,76,44,37,76,44,37,1251,684,1935,81.1369509,81.1369509,39.27648579,22.73901809,19.12144703,39.27648579,22.73901809,19.12144703,3.222,56.66666667,0,0,2,5.69109604666,5.69109604666,21596.52475509,0,0,0.988706352484,1,61,8,31.7213114754098
"105","CHEWANI",10,8,3,2,5,3,2,3,783,191,974,10.26694045,8.213552361,3.080082136,2.05338809,5.133470226,3.080082136,2.05338809,3.080082136,0,50.27777778,0,0,1,8.39431478199,8.39431478199,107437.19636856,0,6,0.542049409735,0,434,188,2.24423963133641
"106","CHEWELE",16,6,2,7,7,0,3,3,302,1367,1669,9.58657879,3.594967046,1.198322349,4.19412822,4.19412822,0,1.797483523,1.797483523,0,28.18181818,0,0,5,1.6037700802,1.6037700802,45248.60985792,1,0,3.06612059592,0,2276,183,0.733304042179262
"107","CHULUNI",11,0,4,5,2,0,0,0,666,77,743,14.80484522,0,5.383580081,6.729475101,2.69179004,0,0,0,0.8425,38.75,0,0,0,10.9615205919,10.9615205919,17298.53097479,0,0,4.57368639171,0,177,2,4.19774011299435
"108","CHURO/AMAYA",23,3,4,13,6,1,1,1,623,123,746,30.8310992,4.021447721,5.361930295,17.42627346,8.042895442,1.340482574,1.340482574,1.340482574,0,57,0,0,2,62.3140636745,62.3140636745,51732.22025843,0,0,52.552310166,0,442,73,1.68778280542986
"109","CIANDA",9,0,1,5,3,0,0,0,238,1323,1561,5.765534914,0,0.64061499,3.203074952,1.921844971,0,0,0,3.12857143,79.5,0,0,0,14.0265875334,14.0265875334,17745.08272464,0,0,24.1446496575,0,35,0,44.6
"110","DABASO",7,7,3,2,2,3,2,2,1060,497,1557,4.495825305,4.495825305,1.926782274,1.284521516,1.284521516,1.926782274,1.284521516,1.284521516,0,48.33333333,0,0,0,1.79246337436,1.79246337436,17306.6526872,0,0,11.5144687294,0,143,1,10.8881118881119
"111","DADAAB",4,4,2,1,1,2,1,1,261,1413,1674,2.38948626,2.38948626,1.19474313,0.597371565,0.597371565,1.19474313,0.597371565,0.597371565,0,0,0,0,0,2.74152861927,2.74152861927,90336.01072211,0,0,60.7941585254,1,191,258,8.76439790575916
"112","DADAJA BULLA",6,0,1,2,3,0,0,0,1595,1073,2668,2.248875562,0,0.374812594,0.749625187,1.124437781,0,0,0,0,0,0,0,0,19.8542131398,19.8542131398,158688.6365857,1,0,14.8824100605,0,689,336,3.87227866473149
"113","DAMAJALE",2,0,0,1,1,0,0,0,1618,1094,2712,0.737463127,0,0,0.368731563,0.368731563,0,0,0,0,21.66666667,0,0,0,31.7471519098,31.7471519098,128073.19079699,2,0,86.5249197619,0,2766,306,0.980477223427332
"114","DANABA",13,0,0,10,3,0,0,0,1123,695,1818,7.150715072,0,0,5.500550055,1.650165017,0,0,0,0,35,0,0,0,83.8912625881,83.8912625881,91539.48406359,4,0,38.0275433983,0,1902,162,0.95583596214511
"115","DANDORA AREA I",1,1,0,0,1,0,0,1,709,178,887,1.127395716,1.127395716,0,0,1.127395716,0,0,1.127395716,0,0,0,0,0,2.54002327418,2.54002327418,9154.30079123,0,0,15.15927809,0,1,0,887
"116","DANDORA AREA II",2,2,1,0,1,1,0,1,1268,726,1994,1.003009027,1.003009027,0.501504514,0,0.501504514,0.501504514,0,0.501504514,0,0,0,0,0,3.39482445945,3.39482445945,10414.06946341,0,3,16.1964589664,0,1,0,1994
"117","DANDORA AREA III",1,1,0,1,0,0,1,0,1429,862,2291,0.436490615,0.436490615,0,0.436490615,0,0,0.436490615,0,0,15,0,0,0,4.06822426367,4.06822426367,11399.29700803,0,0,17.028865187,0,1,1,2291
"118","DANDORA AREA IV",1,1,1,0,0,1,0,0,1487,922,2409,0.415110004,0.415110004,0.415110004,0,0,0.415110004,0,0,0,15,0,0,0,3.52851778829,3.52851778829,12271.44457716,0,0,17.7439596226,0,1,1,2409
"119","DANYERE",2,2,0,0,2,0,0,2,819,476,1295,1.544401544,1.544401544,0,0,1.544401544,0,0,1.544401544,0,0,0,0,0,49.5145334417,49.5145334417,112840.80924214,7,0,21.6080893204,0,715,103,1.81118881118881
"120","DEDAN KIMANTHI",215,215,64,82,69,64,82,69,571,24,595,361.3445378,361.3445378,107.5630252,137.8151261,115.9663866,107.5630252,137.8151261,115.9663866,2.14625,67.5,0,0,0,18.6891721885,18.6891721885,19954.26132988,7,1,0.863279396974,0,230,19,2.58695652173913
"121","DEKAHARIA",9,3,1,5,3,1,0,2,1632,1107,2739,3.285870756,1.095290252,0.365096751,1.825483753,1.095290252,0.365096751,0,0.730193501,0,0,0,0,0,103.650701906,103.650701906,134829.41041276,0,0,91.4933298199,0,1359,251,2.01545253863135
"122","DELLA",8,0,3,2,3,0,0,0,610,311,921,8.686210641,0,3.25732899,2.17155266,3.25732899,0,0,0,0,0,0,0,0,51.714009068,51.714009068,84760.14278785,2,0,16.1191071621,0,1015,185,0.907389162561576
"123","DERTU",3,3,1,0,2,1,0,2,228,1404,1632,1.838235294,1.838235294,0.612745098,0,1.225490196,0.612745098,0,1.225490196,0,0,1,0,0,26.3567153633,26.3567153633,54995.3163334,0,0,41.974095751,0,1444,201,1.13019390581717
"124","DZOMBO",24,9,5,15,4,4,5,0,1444,850,2294,10.46207498,3.923278117,2.179598954,6.538796861,1.743679163,1.743679163,2.179598954,0,0,33.75,0,0,0,4.00141557756,4.00141557756,40699.47824993,0,0,151.01908574,0,214,39,10.7196261682243
"125","EAST GEM",21,17,10,7,4,8,6,3,660,50,710,29.57746479,23.94366197,14.08450704,9.85915493,5.633802817,11.26760563,8.450704225,4.225352113,2.02428571,35,0,0,0,13.8963477562,13.8963477562,17862.73271235,0,0,22.5190483821,0,60,9,11.8333333333333
"127","EAST KABRAS",17,14,6,8,3,5,7,2,1660,1630,3290,5.167173252,4.255319149,1.823708207,2.431610942,0.911854103,1.519756839,2.127659574,0.607902736,2.805,62.5,0,0,0,5.07686471776,5.07686471776,21194.27005513,0,0,10.2150831208,0,51,19,64.5098039215686
"128","EAST KAMAGAK",5,0,5,0,0,0,0,0,206,1271,1477,3.385240352,0,3.385240352,0,0,0,0,0,2.86,53.88888889,0,0,0,2.15060481374,2.15060481374,24131.54902177,0,0,20.8356499522,0,41,24,36.0243902439024
"129","EAST KANO/WAWIDHI",22,22,5,9,8,5,9,8,344,1400,1744,12.6146789,12.6146789,2.866972477,5.160550459,4.587155963,2.866972477,5.160550459,4.587155963,1.73363636,58,0,0,3,4.78491600999,4.78491600999,27606.97431214,0,0,8.34951524925,0,101,14,17.2673267326733
"130","EAST SEME",24,16,9,10,5,6,8,2,646,20,666,36.03603604,24.02402402,13.51351351,15.01501502,7.507507508,9.009009009,12.01201201,3.003003003,1.64125,56.66666667,0,0,0,8.99369717065,8.99369717065,23926.67294712,0,0,16.7810520236,0,74,10,9
"131","EAST WANGA",19,19,8,7,4,8,7,4,1220,628,1848,10.28138528,10.28138528,4.329004329,3.787878788,2.164502165,4.329004329,3.787878788,2.164502165,3.06,75,0,0,1,23.5519095648,23.5519095648,22933.97936213,0,0,2.75627087126,0,75,23,24.64
"132","EASTLEIGH NORTH",1,1,1,0,0,1,0,0,1423,868,2291,0.436490615,0.436490615,0.436490615,0,0,0.436490615,0,0,0,0,0,0,0,1.19454904587,1.19454904587,4232.62236148,0,0,12.3254036654,0,1,0,2291
"133","EASTLEIGH SOUTH",1,1,1,0,0,1,0,0,1546,983,2529,0.395413207,0.395413207,0.395413207,0,0,0.395413207,0,0,0,0,0,0,0,2.57254718299,2.57254718299,5400.68796864,0,0,11.5820982165,0,1,0,2529
"134","EKALAKALA",40,31,9,24,7,9,16,6,437,1507,1944,20.57613169,15.94650206,4.62962963,12.34567901,3.600823045,4.62962963,8.230452675,3.086419753,0.88,57.08333333,0,0,1,18.7256337705,18.7256337705,48367.74188041,0,0,6.90031352941,0,168,1,11.5714285714286
"135","EL-BARTA",11,0,2,6,3,0,0,0,160,1252,1412,7.790368272,0,1.416430595,4.249291785,2.124645892,0,0,0,0,25,0,0,0,95.7810896849,95.7810896849,57654.86432915,0,2,91.0040683298,0,1155,80,1.22251082251082
"136","ELBEN",8,0,1,4,3,0,0,0,966,557,1523,5.252790545,0,0.656598818,2.626395272,1.969796454,0,0,0,0,0,0,0,0,32.9190755294,32.9190755294,100505.23679802,9,0,21.9400544911,0,2664,239,0.571696696696697
"137","ELDAS",3,3,1,1,1,1,1,1,357,1587,1944,1.543209877,1.543209877,0.514403292,0.514403292,0.514403292,0.514403292,0.514403292,0.514403292,0,0,0,0,0,71.9680165054,71.9680165054,98770.89579467,1,2,4.32356683384,1,679,164,2.86303387334315
"138","ELGON",34,19,6,22,6,6,11,2,1172,629,1801,18.87840089,10.54969461,3.33148251,12.21543587,3.33148251,3.33148251,6.107717934,1.11049417,1.788,65.625,0,0,3,24.6073004168,24.6073004168,40770.02973981,0,0,17.113239275,1,211,33,8.53554502369668
"139","ELUGULU",14,13,3,8,3,2,8,3,427,1429,1856,7.543103448,7.004310345,1.61637931,4.310344828,1.61637931,1.077586207,4.310344828,1.61637931,2.75666667,60,0,0,1,15.3765936899,15.3765936899,34645.27665236,0,0,13.5095832411,0,30,31,61.8666666666667
"140","ELWAK NORTH",5,0,1,3,1,0,0,0,992,491,1483,3.371544167,0,0.674308833,2.0229265,0.674308833,0,0,0,0,0,0,0,0,9.79488177185,9.79488177185,140729.37537243,0,0,56.7945342042,0,557,296,2.66247755834829
"141","ELWAK SOUTH",8,0,5,3,0,0,0,0,1567,1006,2573,3.109211038,0,1.943256899,1.165954139,0,0,0,0,0,0,0,0,0,0.960488859448,0.960488859448,150065.43440651,0,1,45.390929463,1,160,293,16.08125
"142","EMALI/MULALA",40,30,10,25,5,10,17,3,836,283,1119,35.74620197,26.80965147,8.936550492,22.34137623,4.468275246,8.936550492,15.19213584,2.680965147,2.04833333,44.28571429,0,0,0,6.30941049463,6.30941049463,29068.0498453,0,0,3.13395537588,0,105,6,10.6571428571429
"143","EMBAKASI",5,5,2,0,3,2,0,3,1228,649,1877,2.663825253,2.663825253,1.065530101,0,1.598295152,1.065530101,0,1.598295152,0,0,0,0,0,3.02894135242,3.02894135242,14477.17076798,0,5,10.6463778111,0,52,2,36.0961538461538
"144","EMINING",29,15,10,12,7,7,5,3,311,1391,1702,17.03877791,8.813160987,5.875440658,7.05052879,4.112808461,4.112808461,2.937720329,1.762632197,1.4,33.52941176,0,0,0,6.18310445498,6.18310445498,32074.05680756,0,0,30.4732144388,1,490,25,3.4734693877551
"145","EMSOO",25,9,6,16,3,3,6,0,1640,1082,2722,9.184423218,3.306392359,2.204261572,5.87803086,1.102130786,1.102130786,2.204261572,0,0,51.81818182,0,0,0,45.4024993789,45.4024993789,46202.96766982,0,0,5.13914873578,0,155,4,17.5612903225806
"146","ENDO",12,11,3,6,3,3,5,3,764,201,965,12.43523316,11.39896373,3.10880829,6.21761658,3.10880829,3.10880829,5.18134715,3.10880829,0,74.16666667,0,0,29,0.534645969309,0.534645969309,59864.25603842,0,0,3.92190629589,0,210,2,4.59523809523809
"147","ENGINEER",6,0,4,0,2,0,0,0,956,393,1349,4.447739066,0,2.965159377,0,1.482579689,0,0,0,1.1,60,0,0,0,15.8958367323,15.8958367323,16958.69050891,0,0,17.2869872857,0,95,4,14.2
"148","ETENJE",29,25,7,18,4,7,15,3,1029,415,1444,20.08310249,17.31301939,4.847645429,12.46537396,2.770083102,4.847645429,10.38781163,2.077562327,3.48,63.33333333,0,0,2,14.8906002244,14.8906002244,35185.42366561,0,0,1.87081538169,0,51,36,28.3137254901961
"149","EVURORE",33,25,12,14,7,11,11,3,1482,885,2367,13.94169835,10.56189269,5.069708492,5.914659907,2.957329954,4.647232784,4.647232784,1.267427123,1.45105263,43.68421053,0,0,1,25.0200597511,25.0200597511,24562.13423768,0,1,8.96472318499,0,401,15,5.90274314214464
"150","EWALEL CHAPCHAP",20,2,7,6,7,0,0,2,303,1366,1669,11.98322349,1.198322349,4.19412822,3.594967046,4.19412822,0,0,1.198322349,0,35,0,0,0,16.3371411678,16.3371411678,47684.24846094,0,0,18.5646194821,0,179,35,9.32402234636871
"151","FAFI",4,0,0,1,3,0,0,0,1513,953,2466,1.622060016,0,0,0.405515004,1.216545012,0,0,0,0,0,0,0,0,42.7042933285,42.7042933285,68294.95385868,2,0,57.4883611732,0,4033,253,0.611455492189437
"152","FAZA",15,3,4,2,9,1,1,1,150,1245,1395,10.75268817,2.150537634,2.867383513,1.433691756,6.451612903,0.716845878,0.716845878,0.716845878,0,70,0,0,0,102.480683143,102.480683143,21998.63906748,0,0,70.8647900559,0,30,157,46.5
"153","GAICHANJIRU",28,28,9,15,4,9,15,4,1036,424,1460,19.17808219,19.17808219,6.164383562,10.2739726,2.739726027,6.164383562,10.2739726,2.739726027,4.37,66,0,0,2,11.0186892482,11.0186892482,20211.43563134,0,2,9.5711679093,0,50,3,29.2
"154","GAKAWA",22,18,6,12,4,5,9,4,908,398,1306,16.84532925,13.78254211,4.594180704,9.188361409,3.062787136,3.82848392,6.891271057,3.062787136,1.0625,62.14285714,0,0,1,7.02713541407,7.02713541407,10744.97090772,0,1,14.1792840638,1,273,7,4.78388278388278
"155","GALBET",10,10,4,4,2,4,4,2,1459,901,2360,4.237288136,4.237288136,1.694915254,1.694915254,0.847457627,1.694915254,1.694915254,0.847457627,0,61.25,0,0,1,2.73372917435,2.73372917435,5670.33664848,0,0,3.17345542974,0,46,185,51.304347826087
"156","GANDA",23,4,4,18,1,1,3,0,1221,681,1902,12.09253417,2.103049422,2.103049422,9.463722397,0.525762355,0.525762355,1.577287066,0,0,55.83333333,0,0,0,1.10438938014,1.10438938014,5729.13375566,0,0,8.9163095394,0,70,1,27.1714285714286
"157","GANZE",38,10,7,26,5,4,4,2,1161,488,1649,23.04426925,6.064281383,4.244996968,15.76713159,3.032140691,2.425712553,2.425712553,1.212856277,0,29.82758621,0,0,1,30.0587701472,30.0587701472,31687.41916231,2,2,38.1729010676,0,466,25,3.53862660944206
"158","GARSEN CENTRAL",3,0,0,2,1,0,0,0,219,1319,1538,1.950585176,0,0,1.300390117,0.650195059,0,0,0,0,33.75,0,0,0,9.76970456807,9.76970456807,76717.62128073,0,0,5.3264799592,0,228,99,6.74561403508772
"159","GARSEN NORTH",15,0,1,12,2,0,0,0,355,1433,1788,8.389261745,0,0.559284116,6.711409396,1.118568233,0,0,0,0,53.125,0,0,1,8.38085149869,8.38085149869,103870.65942845,0,0,16.0069060527,0,1884,134,0.949044585987261
"160","GARSEN SOUTH",12,9,2,7,3,2,4,3,281,1368,1649,7.277137659,5.457853244,1.212856277,4.244996968,1.819284415,1.212856277,2.425712553,1.819284415,0,28,0,0,0,3.03642969177,3.03642969177,88589.17348281,0,0,2.71274425438,0,669,88,2.46487294469357
"161","GARSEN WEST",3,0,0,3,0,0,0,0,26,1102,1128,2.659574468,0,0,2.659574468,0,0,0,0,0,28.18181818,1,0,0,84.3666186936,84.3666186936,129881.60505601,28,1,46.7142377869,0,1210,68,0.932231404958678
"162","GATANGA",25,15,7,15,3,7,5,3,781,223,1004,24.90039841,14.94023904,6.972111554,14.94023904,2.988047809,6.972111554,4.980079681,2.988047809,3.998,66.66666667,0,0,0,20.7164362044,20.7164362044,23695.37895308,0,0,15.8021121791,0,34,13,29.5294117647059
"163","GATARAKWA",10,0,1,7,2,0,0,0,440,1566,2006,4.985044865,0,0.498504487,3.489531406,0.997008973,0,0,0,0,42.11538462,0,0,1,15.2838060481,15.2838060481,29514.1313505,0,0,0.243687066892,0,209,27,9.59808612440191
"164","GATHANJI",10,4,2,7,1,1,2,1,614,76,690,14.49275362,5.797101449,2.898550725,10.14492754,1.449275362,1.449275362,2.898550725,1.449275362,2.45888889,54.64285714,0,0,0,6.07017811678,6.07017811678,11161.85869523,0,0,11.6340921991,0,101,0,6.83168316831683
"165","GATHARA",14,0,4,7,3,0,0,0,891,325,1216,11.51315789,0,3.289473684,5.756578947,2.467105263,0,0,0,1.06,77.30769231,0,0,0,22.2443083263,22.2443083263,24943.21440843,0,0,7.5731882926,0,150,5,8.10666666666667
"166","GATHIGIRIRI",13,10,1,10,2,1,8,1,366,1465,1831,7.099945385,5.46149645,0.546149645,5.46149645,1.09229929,0.546149645,4.36919716,0.546149645,2.775,86.66666667,0,0,0,3.08195492658,3.08195492658,14695.53823799,0,0,4.28199956258,0,31,8,59.0645161290323
"167","GATINA",1,1,0,1,0,0,1,0,1488,936,2424,0.412541254,0.412541254,0,0.412541254,0,0,0.412541254,0,0,0,0,0,0,1.35900593241,1.35900593241,6225.37875006,0,0,10.0314473486,0,1,1,2424
"168","GATITU/MURUGURU",14,14,4,7,3,4,7,3,616,38,654,21.40672783,21.40672783,6.116207951,10.70336391,4.587155963,6.116207951,10.70336391,4.587155963,2.012,70,0,0,0,2.07223801923,2.07223801923,6511.83514914,0,0,0.19683474551,0,36,2,18.1666666666667
"169","GATONGORA",6,1,4,1,1,1,0,0,174,1268,1442,4.160887656,0.693481276,2.773925104,0.693481276,0.693481276,0.693481276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","GATUANYAGA",8,0,0,8,0,0,0,0,191,1292,1483,5.394470668,0,0,5.394470668,0,0,0,0,1.02833333,56.81818182,0,0,0,1.62011980443,1.62011980443,11468.113703,0,4,2.69299621117,0,82,0,18.0853658536585
"171","GATURI",51,51,17,30,4,17,30,4,1263,689,1952,26.12704918,26.12704918,8.709016393,15.36885246,2.049180328,8.709016393,15.36885246,2.049180328,2.78875,61.81818182,0,0,0,8.77243259527,8.77243259527,8056.21362092,0,1,2.7507909131,0,103,4,18.9514563106796
"172","GATURI NORTH",20,7,3,13,4,0,5,2,806,242,1048,19.08396947,6.679389313,2.86259542,12.40458015,3.816793893,0,4.770992366,1.908396947,2.87666667,80,0,0,1,5.04569891842,5.04569891842,13993.89938152,0,1,5.63850594126,0,37,13,28.3243243243243
"173","GATURI SOUTH",9,9,4,3,2,4,3,2,158,1253,1411,6.378454996,6.378454996,2.834868887,2.126151665,1.417434444,2.834868887,2.126151665,1.417434444,3.815,70,1,0,1,0.150944578592,0.150944578592,9464.40436185,0,0,6.67302176942,0,24,9,58.7916666666667
"174","GEMBE",7,0,1,2,4,0,0,0,442,1489,1931,3.625064733,0,0.51786639,1.035732781,2.071465562,0,0,0,1.1,58.84615385,0,0,11,44.8942368524,44.8942368524,16910.39492569,0,0,32.924312195,0,164,16,11.7743902439024
"175","GETA",14,14,4,7,3,4,7,3,545,1601,2146,6.523765144,6.523765144,1.863932898,3.261882572,1.397949674,1.863932898,3.261882572,1.397949674,1.38333333,70,0,0,0,30.7973739604,30.7973739604,38442.02409311,0,0,6.3726336938,0,97,8,22.1237113402062
"176","GITARU",9,9,4,5,0,4,5,0,1065,493,1558,5.776636714,5.776636714,2.567394095,3.209242619,0,2.567394095,3.209242619,0,1.43,69.16666667,0,0,0,2.24567906222,2.24567906222,14670.41957526,0,0,11.5654681309,0,14,0,111.285714285714
"177","GITHABAI",2,0,1,0,1,0,0,0,475,1573,2048,0.9765625,0,0.48828125,0,0.48828125,0,0,0,0.82,32.5,0,0,0,8.98800440413,8.98800440413,15351.20348511,1,0,16.8447698188,0,116,5,17.6551724137931
"178","GITHIGA",15,13,6,6,3,6,5,2,1141,581,1722,8.710801394,7.549361208,3.484320557,3.484320557,1.742160279,3.484320557,2.903600465,1.161440186,2.5575,80.45454545,0,0,1,10.2491657843,10.2491657843,34146.58932614,0,2,29.4044803335,0,39,2,44.1538461538462
"180","GITHIORO",6,6,4,2,0,4,2,0,527,1594,2121,2.828854314,2.828854314,1.885902876,0.942951438,0,1.885902876,0.942951438,0,1.61153846,36,0,0,0,16.8713094977,16.8713094977,27731.45114749,0,0,19.1582509499,0,151,6,14.046357615894
"181","GITHOBOKONI",14,0,5,5,4,0,0,0,633,44,677,20.67946824,0,7.385524372,7.385524372,5.908419498,0,0,0,3.725,75,0,0,0,17.8552101233,17.8552101233,38801.86163849,0,0,19.5294729162,0,102,10,6.63725490196078
"182","GITHURAI",2,2,0,2,0,0,2,0,1496,910,2406,0.831255195,0.831255195,0,0.831255195,0,0,0.831255195,0,0,60,0,0,0,1.10777143653,1.10777143653,14153.35334979,0,0,20.9516999889,0,1,1,2406
"183","GITOTHUA",5,3,1,3,1,0,2,1,245,1343,1588,3.14861461,1.889168766,0.629722922,1.889168766,0.629722922,0,1.259445844,0.629722922,1.6575,72.22222222,0,0,0,3.67398620043,3.67398620043,19808.72601425,0,3,21.4739845261,0,34,1,46.7058823529412
"184","GITUAMBA",26,26,12,10,4,12,10,4,1009,426,1435,18.1184669,18.1184669,8.362369338,6.968641115,2.787456446,8.362369338,6.968641115,2.787456446,3.965,67.22222222,0,0,0,23.2490725982,23.2490725982,34242.71440198,0,0,16.091515761,0,73,16,19.6575342465753
"185","GITUGI",35,28,15,14,6,11,13,4,1277,662,1939,18.05054152,14.44043321,7.735946364,7.220216606,3.094378546,5.673027334,6.704486849,2.06291903,2.984,67,0,0,0,20.6248805453,20.6248805453,19233.97751698,0,2,1.07594493065,0,67,13,28.9402985074627
"186","GODOMA",6,0,0,4,2,0,0,0,171,1340,1511,3.970880212,0,0,2.647253475,1.323626737,0,0,0,0,65,0,0,0,33.2282420876,33.2282420876,41051.20765598,0,0,10.9406909405,0,311,111,4.85852090032154
"187","GONGONI",27,16,5,18,4,3,9,4,1307,735,2042,13.22233105,7.835455436,2.448579824,8.814887365,1.958863859,1.469147894,4.407443683,1.958863859,0,40,0,0,0,2.63670311517,2.63670311517,27844.15637425,0,1,18.6378648164,0,233,27,8.76394849785408
"188","GURAR",6,0,0,5,1,0,0,0,556,100,656,9.146341463,0,0,7.62195122,1.524390244,0,0,0,0,30.625,0,0,0,62.1684378934,62.1684378934,66070.47705022,0,0,13.5756527124,0,1049,138,0.625357483317445
"189","GUTICHA",3,3,0,2,1,0,2,1,1278,833,2111,1.421127428,1.421127428,0,0.947418285,0.473709143,0,0.947418285,0.473709143,0,35,1,0,0,42.6847758178,42.6847758178,145014.49702196,0,0,38.046799211,0,1899,240,1.11163770405477
"190","GWASSI NORTH",3,0,1,0,2,0,0,0,1116,542,1658,1.809408926,0,0.603136309,0,1.206272618,0,0,0,0.9075,41.66666667,0,0,7,62.4230837319,62.4230837319,51998.60793136,0,1,29.4318270479,0,306,51,5.41830065359477
