"","WARD"
"274","MUTHARA"
"275","KARAMA"
"276","MUNICIPALITY"
"277","NTIMA EAST"
"278","NTIMA WEST"
"279","NYAKI WEST"
"280","NYAKI EAST"
"281","NYAKI EAST"
"282","TIMAU"
"283","KISIMA"
"284","KIIRUA/NAARI"
"285","RUIRI/RWARERA"
"286","MWANGANTHIA"
"287","ABOTHUGUCHI CENTRAL"
"288","KIAGU"
"289","KIBIRICHIA"
"290","KIBIRICHIA"
"291","MITUNGUU"
"292","IGOJI EAST"
"293","IGOJI WEST"
"294","ABOGETA EAST"
"295","ABOGETA WEST"
"296","NKUENE"
"297","MITHERU"
"298","MUTHAMBI"
"299","MWIMBI"
"300","GANGA"
"301","CHOGORIA"
"302","MARIANI"
"303","KARINGANI"
"304","MAGUMONI"
"305","MUGWE"
"306","IGAMBANG'OMBE"
"307","GATUNGA"
"308","MUKOTHIMA"
"309","NKONDI"
"310","CHIAKARIGA"
"311","MARIMANTI"
"312","RUGURU/NGANDORI"
"313","KITHIMU"
"314","NGINDA"
"315","MBETI NORTH"
"316","KIRIMARI"
"317","GATURI SOUTH"
"318","GATURI NORTH"
"319","KAGAARI SOUTH"
"320","CENTRAL  WARD"
"321","KAGAARI NORTH"
"322","KYENI NORTH"
"323","KYENI SOUTH"
"324","MWEA"
"325","MAKIMA"
"326","MBETI SOUTH"
"327","MAVURIA"
"328","KIAMBERE"
"329","NTHAWA"
"330","MUMINJI"
"331","EVURORE"
"332","NGOMENI"
"333","KYUSO"
"334","MUMONI"
"335","TSEIKURU"
"336","THARAKA"
"337","KYOME/THAANA"
"338","NGUUTANI"
"339","MIGWANI"
"340","KIOMO/KYETHANI"
"341","CENTRAL"
"342","KIVOU"
"343","NGUNI"
"344","NUU"
"345","MUI"
"346","WAITA"
"347","MUTONGUNI"
"348","KAUWI"
"349","MATINYANI"
"350","KWA MUTONGA/KITHUMULA"
"351","KISASI"
"352","MBITINI"
"353","KWAVONZA/YATTA"
"354","KANYANGI"
"355","MIAMBANI"
"356","TOWNSHIP"
"357","KYANGWITHYA WEST"
"358","MULANGO"
"359","KYANGWITHYA EAST"
"360","ZOMBE/MWITIKA"
"361","NZAMBANI"
"362","CHULUNI"
"363","VOO/KYAMATU"
"364","ENDAU/MALALANI"
"365","MUTITO/KALIKU"
"366","IKANGA/KYATUNE"
"367","MUTOMO"
"368","MUTHA"
"369","IKUTHA"
"370","KANZIKO"
"371","ATHI"
"372","KIVAA"
"373","MASINGA CENTRAL"
"374","EKALAKALA"
"375","MUTHESYA"
"376","NDITHINI"
"377","NDALANI"
"378","MATUU"
"379","KITHIMANI"
"380","IKOMBE"
"381","KATANGI"
"382","KANGUNDO NORTH"
"383","KANGUNDO CENTRAL"
"384","KANGUNDO EAST"
"385","KANGUNDO WEST"
"386","TALA"
"387","MATUNGULU NORTH"
"388","MATUNGULU EAST"
"389","MATUNGULU WEST"
"390","KYELENI"
"391","MITABONI"
"392","KATHIANI CENTRAL"
"393","UPPER KAEWA/IVETI"
"394","LOWER KAEWA/KAANI"
"395","ATHI RIVER"
"396","KINANIE"
"397","MUTHWANI"
"398","SYOKIMAU/MULOLONGO"
"399","KALAMA"
"400","KALAMA"
"401","MUA"
"402","MUTITUNI"
"403","MACHAKOS CENTRAL"
"404","MUMBUNI NORTH"
"405","MUVUTI/KIIMA-KIMWE"
"406","KOLA"
"407","MBIUNI"
"408","MAKUTANO/MWALA"
"409","MASII"
"410","MUTHETHENI"
"411","WAMUNYU"
"412","KIBAUNI"
"413","TULIMANI"
"414","MBOONI"
"415","KITHUNGO/KITUNDU"
"416","KISAU-KITETA"
"417","WAIA/KAKO"
"418","KALAWA"
"419","KASIKEU"
"420","MUKAA"
"421","KIIMA KIU/KALANZONI"
"422","UKIA"
"423","KEE"
"424","KILUNGU"
"425","ILIMA"
"426","WOTE"
"427","MUVAU/KIKUUMINI"
"428","MAVINDINI"
"429","KITISE/KITHUKI"
"430","KATHONZWENI"
"431","NZAUI/KILILI/KALAMBA"
"432","MBITINI"
"433","MAKINDU"
"434","NGUUMO"
"435","KIKUMBULYU NORTH"
"436","KIKUMBULYU SOUTH"
"437","NGUU/MASUMBA"
"438","EMALI/MULALA"
"439","MASONGALENI"
"440","MTITO ANDEI"
"441","THANGE"
"442","IVINGONI/NZAMBANI"
"443","ENGINEER"
"444","GATHARA"
"445","NORTH KINANGOP"
"446","MURUNGARU"
"447","NJABINI\KIBURU"
"448","NYAKIO"
"449","GITHABAI"
"450","MAGUMU"
"451","WANJOHI"
"452","KIPIPIRI"
"453","GETA"
"454","GITHIORO"
"455","KARAU"
"456","KANJUIRI RANGE"
"457","MIRANGINE"
"458","KAIMBAGA"
"459","RURII"
"460","GATHANJI"
"461","GATIMU"
"462","WERU"
"463","CHARAGITA"
"464","LESHAU PONDO"
"465","KIRIITA"
"466","CENTRAL"
"467","SHAMATA"
"468","DEDAN KIMANTHI"
"469","WAMAGANA"
"470","AGUTHI-GAAKI"
"471","MWEIGA"
"472","NAROMORU KIAMATHAGA"
"473","MWIYOGO/ENDARASHA"
"474","MUGUNDA"
"475","GATARAKWA"
"476","THEGU RIVER"
"477","KABARU"
"478","GAKAWA"
"479","RUGURU"
"480","MAGUTU"
"481","IRIAINI"
"482","KONYU"
"483","KIRIMUKUYU"
"484","KARATINA TOWN"
"485","MAHIGA"
"486","IRIA-INI"
"487","CHINGA"
"488","KARIMA"
"489","GIKONDI"
"490","RUGI"
"491","MUKURWE-INI WEST"
"492","MUKURWE-INI CENTRAL"
"493","KIGANJO/MATHARI"
"494","RWARE"
"495","GATITU/MURUGURU"
"496","RURING'U"
"497","KAMAKWA/MUKARO"
"498","MUTITHI"
"499","KANGAI"
"500","THIBA"
"501","WAMUMU"
"502","NYANGATI"
"503","MURINDUKO"
"504","GATHIGIRIRI"
"505","TEBERE"
"506","KABARE"
"507","BARAGWI"
"508","NJUKIINI"
"509","NGARIAMA"
"510","KARUMANDI"
"511","MUKURE"
"512","KIINE"
"513","KARITI"
"514","MUTIRA"
"515","KANYEKINI"
"516","KERUGOYA"
"517","INOI"
"518","KANYENYA-INI"
"519","MUGURU"
"520","RWATHIA"
"521","GITUGI"
"522","KIRU"
"523","KAMACHARIA"
"524","WANGU"
"525","MUGOIRI"
"526","MBIRI"
"527","TOWNSHIP"
"528","MURARANDIA"
"529","GATURI"
"530","KAHUMBU"
"531","MUTHITHI"
"532","KIGUMO"
"533","KANGARI"
"534","KINYONA"
"535","KIMORORI/WEMPA"
"536","MAKUYU"
"537","KAMBITI"
"538","KAMAHUHA"
"539","ICHAGAKI"
"540","NGINDA"
"541","NG'ARARIA"
"542","MURUKA"
"543","KAGUNDU-INI"
"544","GAICHANJIRU"
"545","ITHIRU"
"546","RUCHU"
"547","ITHANGA"
"548","KAKUZI/MITUBIRI"
"549","MUGUMO-INI"
"550","KIHUMBU-INI"
"551","GATANGA"
"552","KARIARA"
"553","KIAMWANGI"
"554","KIGANJO"
"555","NDARUGU"
"556","NGENDA"
"557","GITUAMBA"
"558","GITHOBOKONI"
"559","CHANIA"
"560","MANG'U"
"561","MURERA"
"562","THETA"
"563","JUJA"
"564","WITEITHIE"
"565","KALIMONI"
"566","TOWNSHIP"
"567","KAMENU"
"568","HOSPITAL"
"569","GATUANYAGA"
"570","NGOLIBA"
"571","GITOTHUA"
"572","BIASHARA"
"573","KIUU"
"574","GITHUNGURI"
"575","GITHIGA"
"576","IKINU"
"577","NGEWA"
"578","KOMOTHAI"
"579","TING'ANG'A"
"580","NDUMBERI"
"581","RIABAI"
"582","TOWNSHIP"
"583","CIANDA"
"584","KARURI"
"585","NDENDERU"
"586","MUCHATHA"
"587","KIHARA"
"588","GITARU"
"589","MUGUGA"
"590","NYADHUNA"
"591","KABETE"
"592","UTHIRU"
"593","KARAI"
"594","NACHU"
"595","SIGONA"
"596","KIKUYU"
"597","KINOO"
"598","BIBIRIONI"
"599","LIMURU CENTRAL"
"600","NDEIYA"
"601","LIMURU EAST"
"602","NGECHA TIGONI"
"603","KINALE"
"604","KIJABE"
"605","NYANDUMA"
"606","KAMBURU"
"607","LARI/KIRENGA"
"608","KAERIS"
"609","LAKE ZONE"
"610","LAPUR"
"611","KAIKOR/KAALENG"
"612","KIBISH"
"613","NAKALALE"
"614","KAKUMA"
"615","LOPUR"
"616","LETEA"
"617","SONGOT"
"618","KALOBEYEI"
"619","LOKICHOGGIO"
"620","NANAAM"
"621","KERIO DELTA"
"622","KANGATOTHA"
"623","KALOKOL"
"624","LODWAR TOWNSHIP"
"625","KANAMKEMER"
"626","KOTARUK/LOBEI"
"627","TURKWEL"
"628","LOIMA"
"629","LOKIRIAMA/LORENGIPPI"
"630","KAPUTIR"
"631","KATILU"
"632","LOBOKAT"
"633","KALAPATA"
"634","LOKICHAR"
"635","KAPEDO/NAPEITOM"
"636","KATILIA"
"637","RIWO"
"638","KAPENGURIA"
"639","MNAGEI"
"640","SIYOI"
"641","ENDUGH"
"642","SOOK"
"643","SEKERR"
"644","MASOOL"
"645","LOMUT"
"646","WEIWEI"
"647","SUAM"
"648","KODICH"
"649","KASEI"
"650","KAPCHOK"
"651","KIWAWA"
"652","ALALE"
"653","CHEPARERIA"
"654","BATEI"
"655","LELAN"
"656","TAPACH"
"657","LODOKEJEK"
"658","SUGUTA MARMAR"
"659","MARALAL"
"660","LOOSUK"
"661","PORRO"
"662","EL-BARTA"
"663","NACHOLA"
"664","NDOTO"
"665","NYIRO"
"666","ANGATA NANYOKIE"
"667","BAAWA"
"668","WASO"
"669","WAMBA WEST"
"670","WAMBA EAST"
"671","WAMBA NORTH"
"672","KWANZA"
"673","KEIYO"
"674","KEIYO"
"675","BIDII"
"676","CHEPCHOINA"
"677","ENDEBESS"
"678","MATUMBEI"
"679","KINYORO"
"680","MATISI"
"681","TUWANI"
"682","SABOTI"
"683","MACHEWA"
"684","KIMININI"
"685","WAITALUK"
"686","SIRENDE"
"687","HOSPITAL"
"688","SIKHENDU"
"689","NABISWA"
"690","SINYERERE"
"691","MAKUTANO"
"692","KAPLAMAI"
"693","MOTOSIET"
"694","CHERANGANY/SUWERWA"
"695","CHEPSIRO/KIPTOROR"
"696","SITATUNGA"
"697","MOI'S BRIDGE"
"698","KAPKURES"
"699","ZIWA"
"700","SEGERO/BARSOMBE"
"701","KIPSOMBA"
"702","SOY"
"703","KUINET/KAPSUSWA"
"704","NGENYILEL"
"705","TAPSAGOI"
"706","KAMAGUT"
"707","KIPLOMBE"
"708","KAPSAOS"
"709","HURUMA"
"710","TEMBELIO"
"711","SERGOIT"
"712","KARUNA/MEIBEKI"
"713","MOIBEN"
"714","KIMUMU"
"715","KAPSOYA"
"716","KAPTAGAT"
"717","AINABKOI/OLARE"
"718","SIMAT/KAPSERET"
"719","KIPKENYO"
"720","NGERIA"
"721","MEGUN"
"722","LANGAS"
"723","RACECOURSE"
"724","CHEPTIRET/KIPCHAMO"
"725","TULWET/CHUIYAT"
"726","TARAKWA"
"727","KAPYEGO"
"728","SAMBIRIR"
"729","ENDO"
"730","SENGWER"
"731","CHERANG'ANY/CHEBORORWA"
"732","MOIBEN/KUSERWO"
"733","KAPSOWAR"
"734","ARROR"
"735","EMSOO"
"736","KAMARINY"
"737","KAPCHEMUTWA"
"738","TAMBACH"
"739","KAPTARAKWA"
"740","CHEPKORIO"
"741","SOY NORTH"
"742","SOY SOUTH"
"743","KABIEMIT"
"744","METKEI"
"745","SONGHOR/SOBA"
"746","TINDIRET"
"747","CHEMELIL/CHEMASE"
"748","KAPSIMOTWO"
"749","KABWARENG"
"750","TERIK"
"751","KEMELOI-MARABA"
"752","KOBUJOI"
"753","KAPTUMO-KABOI"
"754","KOYO-NDURIO"
"755","NANDI HILLS"
"756","CHEPKUNYUK"
"757","OL'LESSOS"
"758","KAPCHORUA"
"759","CHEMUNDU/KAPNG'ETUNY"
"760","KOSIRAI"
"761","LELMOKWO/NGECHEK"
"762","KAPTEL/KAMOIYWO"
"763","KIPTUYA"
"764","CHEPKUMIA"
"765","KAPKANGANI"
"766","KAPSABET"
"767","KILIBWONI"
"768","CHEPTERWAI"
"769","KIPKAREN"
"770","KURGUNG/SURUNGAI"
"771","KABIYET"
"772","NDALAT"
"773","KABISAGA"
"774","SANGALO/KEBULONIK"
"775","TIRIOKO"
"776","KOLOWA"
"777","RIBKWO"
"778","SILALE"
"779","LOIYAMOROCK"
"780","TANGULBEI/KOROSSI"
"781","CHURO/AMAYA"
"782","BARWESSA"
"783","KABARTONJO"
"784","SAIMO/KIPSARAMAN"
"785","SAIMO/SOI"
"786","BARTABWA"
"787","KABARNET"
"788","SACHO"
"789","TENGES"
"790","EWALEL CHAPCHAP"
"791","KAPROPITA"
"792","MARIGAT"
"793","ILCHAMUS"
"794","MOCHONGOI"
"795","MUKUTANI"
"796","MOGOTIO"
"797","EMINING"
"798","KISANANA"
"799","LEMBUS"
"800","LEMBUS KWEN"
"801","RAVINE"
"802","MUMBERES/MAJI MAZURI"
"803","LEMBUS/PERKERRA"
"804","KOIBATEK"
"805","OL-MORAN"
"806","RUMURUTI TOWNSHIP"
"807","GITHIGA"
"808","MARMANET"
"809","IGWAMITI"
"810","SALAMA"
"811","NGOBIT"
"812","TIGITHI"
"813","THINGITHU"
"814","NANYUKI"
"815","UMANDE"
"816","SOSIAN"
"817","SEGERA"
"818","MUKOGONDO WEST"
"819","MUKOGONDO EAST"
"820","MARIASHONI"
"821","ELBURGON"
"822","TURI"
"823","MOLO"
"824","MAU NAROK"
"825","MAUCHE"
"826","KIHINGO"
"827","NESSUIT"
"828","LARE"
"829","NJORO"
"830","BIASHARA"
"831","HELLS GATE"
"832","LAKE VIEW"
"833","MAI MAHIU"
"834","MAIELLA"
"835","OLKARIA"
"836","NAIVASHA EAST"
"837","VIWANDANI"
"838","GILGIL"
"839","ELEMENTAITA"
"840","MBARUK/EBURU"
"841","MALEWA WEST"
"842","MURINDATI"
"843","AMALO"
"844","KERINGET"
"845","KIPTAGICH"
"846","TINET"
"847","KIPTORORO"
"848","NYOTA"
"849","SIRIKWA"
"850","KAMARA"
"851","SUBUKIA"
"852","WASEGES"
"853","KABAZI"
"854","MENENGAI WEST"
"855","SOIN"
"856","VISOI"
"857","MOSOP"
"858","SOLAI"
"859","DUNDORI"
"860","KABATINI"
"861","KIAMAINA"
"862","LANET/UMOJA"
"863","BAHATI"
"864","BARUT"
"865","LONDON"
"866","KAPTEMBWO"
"867","KAPKURES"
"868","RHODA"
"869","SHAABAB"
"870","BIASHARA"
"871","KIVUMBINI"
"872","FLAMINGO"
"873","MENENGAI"
"874","NAKURU EAST"
"875","KILGORIS CENTRAL"
"876","KEYIAN"
"877","ANGATA BARIKOI"
"878","SHANKOE"
"879","KIMINTET"
"880","LOLGORIAN"
"881","ILKERIN"
"882","OLOlMASANI"
"883","MOGONDO"
"884","KAPSASIAN"
"885","OLPUSIMORU"
"886","OLOKURTO"
"887","NAROK TOWN"
"888","NKARETA"
"889","OLORROPIL"
"890","MELILI"
"891","MOSIRO"
"892","ILDAMAT"
"893","KEEKONYOKIE"
"894","SUSWA"
"895","MAJIMOTO/NAROOSURA"
"896","OLOLULUNG'A"
"897","MELELO"
"898","LOITA"
"899","SOGOO"
"900","SAGAMIAN"
"901","ILMOTIOK"
"902","MARA"
"903","SIANA"
"904","NAIKARRA"
"905","OLKERI"
"906","ONGATA RONGAI"
"907","NKAIMURUNYA"
"908","OLOOLUA"
"909","NGONG"
"910","PURKO"
"911","ILDAMAT"
"912","DALALEKUTUK"
"913","MATAPATO NORTH"
"914","MATAPATO SOUTH"
"915","KAPUTIEI NORTH"
"916","KITENGELA"
"917","OLOOSIRKON/SHOLINKE"
"918","KENYAWA-POKA"
"919","IMARORO"
"920","KEEKONYOKIE"
"921","ILOODOKILANI"
"922","MAGADI"
"923","EWUASO OONKIDONG'I"
"924","MOSIRO"
"925","ENTONET/LENKISIM"
"926","MBIRIKANI/ESELENKEI"
"927","KUKU"
"928","ROMBO"
"929","KIMANA"
"930","LONDIANI"
"931","KEDOWA/KIMUGUL"
"932","CHEPSEON"
"933","TENDENO/SORGET"
"934","KUNYAK"
"935","KAMASIAN"
"936","KIPKELION"
"937","CHILCHILA"
"938","KAPSOIT"
"939","AINAMOI"
"940","KAPKUGERWET"
"941","KIPCHEBOR"
"942","KIPCHIMCHIM"
"943","KAPSAOS"
"944","KISIARA"
"945","TEBESONIK"
"946","CHEBOIN"
"947","CHEMOSOT"
"948","LITEIN"
"949","CHEPLANGET"
"950","KAPKATET"
"951","WALDAI"
"952","KABIANGA"
"953","CHEPTORORIET/SERETUT"
"954","CHAIK"
"955","KAPSUSER"
"956","SIGOWET"
"957","KAPLELARTET"
"958","SOLIAT"
"959","SOIN"
"960","NDANAI/ABOSI"
"961","CHEMAGEL"
"962","KIPSONOI"
"963","KAPLETUNDO"
"964","RONGENA/MANARET"
"965","KONG'ASIS"
"966","NYANGORES"
"967","SIGOR"
"968","CHEBUNYO"
"969","SIONGIROI"
"970","MERIGI"
"971","KEMBU"
"972","LONGISA"
"973","KIPRERES"
"974","CHEMANER"
"975","SILIBWET TOWNSHIP"
"976","NDARAWETA"
"977","SINGORWET"
"978","CHESOEN"
"979","MUTARAKWA"
"980","CHEPCHABAS"
"981","KIMULOT"
"982","MOGOGOSIEK"
"983","BOITO"
"984","EMBOMOS"
"985","MAUTUMA"
"986","LUGARI"
"987","LUMAKANDA"
"988","CHEKALINI"
"989","CHEVAYWA"
"990","LWANDETI"
"991","LIKUYANI"
"992","SANGO"
"993","KONGONI"
"994","NZOIA"
"995","SINOKO"
"996","WEST KABRAS"
"997","CHEMUCHE"
"998","EAST KABRAS"
"999","BUTALI/CHEGULO"
"1000","MANDA-SHIVANGA"
"1001","SHIRUGU-MUGAI"
"1002","SOUTH KABRAS"
"1003","BUTSOTSO EAST"
"1004","BUTSOTSO SOUTH"
"1005","BUTSOTSO CENTRAL"
"1006","SHEYWE"
"1007","MAHIAKALO"
"1008","SHIRERE"
"1009","INGOSTSE-MATHIA"
"1010","SHINOYI-SHIKOMARI-ESUMEYIA"
"1011","BUNYALA WEST"
"1012","BUNYALA EAST"
"1013","BUNYALA CENTRAL"
"1014","MUMIAS CENTRAL"
"1015","MUMIAS NORTH"
"1016","ETENJE"
"1017","MUSANDA"
"1018","LUSHEYA/LUBINU"
"1019","MALAHA/ISONGO/MAKUNGA"
"1020","EAST WANGA"
"1021","KOYONZO"
"1022","KHOLERA"
"1023","KHALABA"
"1024","MAYONI"
"1025","NAMAMALI"
"1026","MARAMA WEST"
"1027","MARAMA CENTRAL"
"1028","MARENYO - SHIANDA"
"1029","MARAMA NORTH"
"1030","MARAMA SOUTH"
"1031","KISA NORTH"
"1032","KISA EAST"
"1033","KISA WEST"
"1034","KISA CENTRAL"
"1035","ISUKHA NORTH"
"1036","MURHANDA"
"1037","ISUKHA CENTRAL"
"1038","ISUKHA SOUTH"
"1039","ISUKHA EAST"
"1040","ISUKHA WEST"
"1041","IDAKHO SOUTH"
"1042","IDAKHO EAST"
"1043","IDAKHO NORTH"
"1044","IDAKHO CENTRAL"
"1045","LUGAGA-WAMULUMA"
"1046","SOUTH MARAGOLI"
"1047","CENTRAL MARAGOLI"
"1048","MUNGOMA"
"1049","LYADUYWA/IZAVA"
"1050","WEST SABATIA"
"1051","CHAVAKALI"
"1052","NORTH MARAGOLI"
"1053","WODANGA"
"1054","BUSALI"
"1055","SHIRU"
"1056","GISAMBAI"
"1057","SHAMAKHOKHO"
"1058","BANJA"
"1059","MUHUDU"
"1060","TAMBUA"
"1061","JEPKOYAI"
"1062","LUANDA TOWNSHIP"
"1063","WEMILABI"
"1064","MWIBONA"
"1065","LUANDA SOUTH"
"1066","EMABUNGO"
"1067","NORTH EAST BUNYORE"
"1068","CENTRAL BUNYORE"
"1069","WEST BUNYORE"
"1070","CHEPTAIS"
"1071","CHESIKAKI"
"1072","CHEPYUK"
"1073","KAPKATENY"
"1074","KAPTAMA"
"1075","ELGON"
"1076","NAMWELA"
"1077","MALAKISI/SOUTH KULISIRU"
"1078","`"
"1079","KABUCHAI/CHWELE"
"1080","WEST NALONDO"
"1081","BWAKE/LUUYA"
"1082","MUKUYUNI"
"1083","SOUTH BUKUSU"
"1084","BUMULA"
"1085","KHASOKO"
"1086","KABULA"
"1087","KIMAETI"
"1088","WEST BUKUSU"
"1089","SIBOTI"
"1090","BUKEMBE WEST"
"1091","BUKEMBE EAST"
"1092","TOWNSHIP"
"1093","KHALABA"
"1094","MUSIKOMA"
"1095","EAST SANG'ALO"
"1096","MARAKARU/TUUTI"
"1097","WEST SANG'ALO"
"1098","MIHUU"
"1099","NDIVISI"
"1100","MARAKA"
"1101","MISIKHU"
"1102","SITIKHO"
"1103","MATULO"
"1104","BOKOLI"
"1105","KIBINGEI"
"1106","KIMILILI"
"1107","MAENI"
"1108","KAMUKUYWA"
"1109","MBAKALO"
"1110","NAITIRI/KABUYEFWE"
"1111","MILIMA"
"1112","NDALU/ TABANI"
"1113","TONGAREN"
"1114","SOYSAMBU/ MITUA"
"1115","MALABA CENTRAL"
"1116","MALABA NORTH"
"1117","ANG'URAI SOUTH"
"1118","ANG'URAI NORTH"
"1119","ANG'URAI EAST"
"1120","MALABA SOUTH"
"1121","ANG'OROM"
"1122","CHAKOL SOUTH"
"1123","CHAKOL NORTH"
"1124","AMUKURA WEST"
"1125","AMUKURA EAST"
"1126","AMUKURA CENTRAL"
