"","WARD"
"1127","NAMBALE TOWNSHIP"
"1128","BUKHAYO NORTH/WALATSI"
"1129","BUKHAYO EAST"
"1130","BUKHAYO CENTRAL"
"1131","BUKHAYO WEST"
"1132","MAYENJE"
"1133","MATAYOS SOUTH"
"1134","BUSIBWABO"
"1135","BURUMBA"
"1136","MARACHI WEST"
"1137","KINGANDOLE"
"1138","MARACHI CENTRAL"
"1139","MARACHI EAST"
"1140","MARACHI NORTH"
"1141","ELUGULU"
"1142","NAMBOBOTO NAMBUKU"
"1143","NANGINA"
"1144","AGENG'A NANGUBA"
"1145","BWIRI"
"1146","BUNYALA CENTRAL"
"1147","BUNYALA NORTH"
"1148","BUNYALA WEST"
"1149","BUNYALA SOUTH"
"1150","WEST UGENYA"
"1151","UKWALA"
"1152","NORTH UGENYA"
"1153","EAST UGENYA"
"1154","SIDINDI"
"1155","SIGOMERE"
"1156","UGUNJA"
"1157","USONGA"
"1158","WEST ALEGO"
"1159","CENTRAL ALEGO"
"1160","SIAYA TOWNSHIP"
"1161","NORTH ALEGO"
"1162","SOUTH EAST ALEGO"
"1163","NORTH GEM"
"1164","WEST GEM"
"1165","CENTRAL GEM"
"1166","YALA TOWNSHIP"
"1167","EAST GEM"
"1168","SOUTH GEM"
"1169","YIMBO WEST"
"1170","CENTRAL SAKWA"
"1171","SOUTH SAKWA"
"1172","YIMBO EAST"
"1173","WEST SAKWA"
"1174","NORTH SAKWA"
"1175","EAST ASEMBO"
"1176","WEST ASEMBO"
"1177","NORTH UYOMA"
"1178","SOUTH UYOMA"
"1179","WEST UYOMA"
"1180","KAJULU"
"1181","KOLWA EAST"
"1182","MANYATTA 'B'"
"1183","NYALENDA 'A'"
"1184","KOLWA CENTRAL"
"1185","SOUTH WEST KISUMU"
"1186","CENTRAL KISUMU"
"1187","KISUMU NORTH"
"1188","WEST KISUMU"
"1189","NORTH WEST KISUMU"
"1190","RAILWAYS"
"1191","MIGOSI"
"1192","SHAURIMOYO KALOLENI"
"1193","MARKET MILIMANI"
"1194","KONDELE"
"1195","NYALENDA B"
"1196","WEST SEME"
"1197","CENTRAL SEME"
"1198","EAST SEME"
"1199","NORTH SEME"
"1200","EAST KANO/WAWIDHI"
"1201","AWASI/ONJIKO"
"1202","AHERO"
"1203","KABONYO/KANYAGWAL"
"1204","KOBURA"
"1205","MIWANI"
"1206","OMBEYI"
"1207","MASOGO/NYANG'OMA"
"1208","CHEMELIL"
"1209","MUHORONI/KORU"
"1210","SOUTH WEST NYAKACH"
"1211","NORTH NYAKACH"
"1212","CENTRAL NYAKACH"
"1213","WEST NYAKACH"
"1214","SOUTH EAST NYAKACH"
"1215","WEST KASIPUL"
"1216","SOUTH KASIPUL"
"1217","CENTRAL KASIPUL"
"1218","EAST KAMAGAK"
"1219","WEST KAMAGAK"
"1220","KABONDO EAST"
"1221","KABONDO WEST"
"1222","KOKWANYO/KAKELO"
"1223","KOJWACH"
"1224","WEST KARACHUONYO"
"1225","WEST KARACHUONYO"
"1226","NORTH KARACHUONYO"
"1227","CENTRAL"
"1228","KANYALUO"
"1229","KIBIRI"
"1230","WANGCHIENG"
"1231","KENDU BAY TOWN"
"1232","WEST GEM"
"1233","EAST GEM"
"1234","KAGAN"
"1235","KOCHIA"
"1236","HOMA BAY CENTRAL"
"1237","HOMA BAY ARUJO"
"1238","HOMA BAY WEST"
"1239","HOMA BAY EAST"
"1240","KWABWAI"
"1241","KANYADOTO"
"1242","KANYIKELA"
"1243","KABUOCH NORTH"
"1244","KABUOCH SOUTH/PALA"
"1245","KANYAMWA KOLOGI"
"1246","KANYAMWA KOSEWE"
"1247","MFANGANO ISLAND"
"1248","RUSINGA ISLAND"
"1249","KASGUNGA"
"1250","GEMBE"
"1251","LAMBWE"
"1252","GWASSI SOUTH"
"1253","GWASSI NORTH"
"1254","KAKSINGRI WEST"
"1255","RUMA-KAKSINGIRI EAST"
"1256","NORTH KAMAGAMBO"
"1257","CENTRAL KAMAGAMBO"
"1258","EAST KAMAGAMBO"
"1259","SOUTH KAMAGAMBO"
"1260","NORTH SAKWA"
"1261","SOUTH SAKWA"
"1262","WEST SAKWA"
"1263","CENTRAL SAKWA"
"1264","GOD JOPE"
"1265","SUNA CENTRAL"
"1266","KAKRAO"
"1267","KWA"
"1268","WIGA"
"1269","WASWETA II"
"1270","RAGANA-ORUBA"
"1271","WASIMBETE"
"1272","WEST KANYAMKAGO"
"1273","NORTH KANYAMKAGO"
"1274","CENTRAL KANYAMKAGO"
"1275","SOUTH KANYAMKAGO"
"1276","EAST KANYAMKAGO"
"1277","KACHIEN'G"
"1278","KACHIEN'G"
"1279","NORTH KADEM"
"1280","MACALDER/KANYARWANDA"
"1281","KALER"
"1282","GOT KACHOLA"
"1283","MUHURU"
"1284","BUKIRA EAST"
"1285","BUKIRA CENTRL/IKEREGE"
"1286","ISIBANIA"
"1287","MAKERERO"
"1288","MASABA"
"1289","TAGARE"
"1290","NYAMOSENSE/KOMOSOKO"
"1291","GOKEHARAKA/GETAMBWEGA"
"1292","NTIMARU WEST"
"1293","NTIMARU EAST"
"1294","NYABASI EAST"
"1295","NYABASI WEST"
"1296","BOMARIBA"
"1297","BOGIAKUMU"
"1298","BOMORENDA"
"1299","RIANA"
"1300","TABAKA"
"1301","BOIKANG'A"
"1302","BOGETENGA"
"1303","BORABU / CHITAGO"
"1304","MOTICHO"
"1305","GETENGA"
"1306","BOMBABA BORABU"
"1307","BOOCHI BORABU"
"1308","BOKIMONGE"
"1309","MAGENCHE"
"1310","MASIGE WEST"
"1311","MASIGE EAST"
"1312","BASI CENTRAL"
"1313","NYACHEKI"
"1314","BASI BOGETAORIO"
"1315","BOBASI CHACHE"
"1316","SAMETA/MOKWERERO"
"1317","BOBASI BOITANGARE"
"1318","MAJOGE BASI"
"1319","BOOCHI/TENDERE"
"1320","BOSOTI/SENGERA"
"1321","ICHUNI"
"1322","NYAMASIBI"
"1323","MASIMBA"
"1324","GESUSU"
"1325","KIAMOKAMA"
"1326","BOBARACHO"
"1327","KISII CENTRAL"
"1328","KEUMBU"
"1329","KIOGORO"
"1330","BIRONGO"
"1331","IBENO"
"1332","MONYERERO"
"1333","SENSI"
"1334","MARANI"
"1335","KEGOGI"
"1336","BOGUSERO"
"1337","BOGEKA"
"1338","NYAKOE"
"1339","KITUTU   CENTRAL"
"1340","NYATIEKO"
"1341","RIGOMA"
"1342","GACHUBA"
"1343","KEMERA"
"1344","MAGOMBO"
"1345","MANGA"
"1346","GESIMA"
"1347","NYAMAIYA"
"1348","BOGICHORA"
"1349","BOSAMARO"
"1350","BONYAMATUTA"
"1351","TOWNSHIP"
"1352","ITIBO"
"1353","BOMWAGAMO"
"1354","BOKEIRA"
"1355","MAGWAGWA"
"1356","EKERENYO"
"1357","MEKENENE"
"1358","KIABONYORU"
"1359","NYANSIONGO"
"1360","ESISE"
"1361","KITISURU"
"1362","PARKLANDS/HIGHRIDGE"
"1363","KARURA"
"1364","KANGEMI"
"1365","MOUNTAIN VIEW"
"1366","KILIMANI"
"1367","KAWANGWARE"
"1368","GATINA"
"1369","KILELESHWA"
"1370","KABIRO"
"1371","MUTUINI"
"1372","NGANDO"
"1373","RIRUTA"
"1374","UTHIRU/RUTHIMITU"
"1375","WAITHAKA"
"1376","KAREN"
"1377","NAIROBI WEST"
"1378","MUGUMO-INI"
"1379","SOUTH C"
"1380","NYAYO HIGHRISE"
"1381","LAINI SABA"
"1382","LINDI"
"1383","MAKINA"
"1384","WOODLEY/KENYATTA GOLF COURSE"
"1385","SARANG'OMBE"
"1386","GITHURAI"
"1387","KAHAWA WEST"
"1388","ZIMMERMAN"
"1389","ROYSAMBU"
"1390","KAHAWA"
"1391","CLAYCITY"
"1392","MWIKI"
"1393","KASARANI"
"1394","NJIRU"
"1395","RUAI"
"1396","BABA DOGO"
"1397","UTALII"
"1398","MATHARE NORTH"
"1399","LUCKY SUMMER"
"1400","KOROGOCHO"
"1401","IMARA DAIMA"
"1402","KWA NJENGA"
"1403","KWA REUBEN"
"1404","PIPELINE"
"1405","KWARE"
"1406","KARIOBANGI NORTH"
"1407","DANDORA AREA I"
"1408","DANDORA AREA II"
"1409","DANDORA AREA III"
"1410","DANDORA AREA IV"
"1411","KAYOLE NORTH"
"1412","KAYOLE CENTRAL"
"1413","KAYOLE SOUTH"
"1414","KOMAROCK"
"1415","MATOPENI/SPRING VALLEY"
"1416","UPPER SAVANNAH"
"1417","LOWER SAVANNAH"
"1418","EMBAKASI"
"1419","UTAWALA"
"1420","MIHANGO"
"1421","UMOJA I"
"1422","UMOJA II"
"1423","MOWLEM"
"1424","KARIOBANGI SOUTH"
"1425","MARINGO/HAMZA"
"1426","VIWANDANI"
"1427","HARAMBEE"
"1428","MAKONGENI"
"1429","PUMWANI"
"1430","EASTLEIGH NORTH"
"1431","EASTLEIGH SOUTH"
"1432","AIRBASE"
"1433","CALIFORNIA"
"1434","NAIROBI CENTRAL"
"1435","NGARA"
"1436","PANGANI"
"1437","ZIWANI/KARIOKOR"
"1438","LANDIMAWE"
"1439","NAIROBI SOUTH"
"1440","HOSPITAL"
"1441","MABATINI"
"1442","HURUMA"
"1443","MLANGO KUBWA"
"1444","KIAMAIKO"
